0,498.939,-157.75
0.2,484.026,55.9625
0.4,399.881,181.04
0.6,291.478,258.195
0.8,161.194,270.647
1,23.0322,234.328
1.2,-66,144
1.4,-129,35
1.6,-136,-74
1.8,-95,-160
2,-19,-209
2.2,69,-214
2.4,150,-166
2.6,185,-65
2.8,179,44
3,127,153
3.2,23,238
3.4,-105,274
3.6,-236,264
3.8,-359,206
4,-431,98
4.2,-448,-26
4.4,-416,-120
4.6,-328,-199
4.8,-222,-246
5,-112,-224
5.2,-4,-150
5.4,55,-44
5.6,68,59
5.8,40,149
6,-27,212
6.2,-121,220
6.4,-209,179
6.6,-256,108
6.8,-261,-6
7,-213,-112
7.2,-126,-201
7.4,3,-266
7.6,147,-264
7.8,258,-224
8,350,-147
8.2,409,-44
8.4,396,69
8.6,325,165
8.8,246,209
9,144,208
9.2,55,152
9.4,-15,53
9.6,-32,-45
9.8,3,-146
10,73,-221
10.2,154,-249
10.4,244,-214
10.6,319,-144
10.8,338,-48
11,315,71
11.2,245,171
11.4,123,247
11.6,-16,269
11.8,-148,234
12,-247,169
12.2,-316,66
12.4,-328,-41
12.6,-295,-132
12.8,-210,-188
13,-121,-190
13.2,-47,-148
13.4,26,-72
13.6,35,36
13.8,-2,147
14,-64,219
14.2,-148,252
14.4,-254,249
14.6,-339,198
14.8,-382,106
15,-379,-26
15.2,-332,-119
15.4,-231,-203
15.6,-98,-256
15.8,32,-238
16,142,-181
16.2,222,-85
16.4,245,23
16.6,232,108
16.8,171,170
17,86,190
17.2,10,157
17.4,-39,81
17.6,-61,-22
17.8,-38,-120
18,34,-211
18.2,131,-261
18.4,240,-280
18.6,328,-234
18.8,398,-138
19,419,-29
19.2,378,81
19.4,303,153
19.6,207,195
19.8,68,207
20,-40,165
20.2,-106,79
20.4,-148,-11
20.6,-150,-102
20.8,-107,-167
21,-30,-190
21.2,45,-173
21.4,89,-106
21.6,115,-17
21.8,104,85
22,43,188
22.2,-51,243
22.4,-167,268
22.6,-267,243
22.8,-353,170
23,-383,77
23.2,-391,-16
23.4,-350,-110
23.6,-265,-165
23.8,-155,-175
24,-45,-150
24.2,33,-84
24.4,75,8
24.6,77,89
24.8,45,166
25,-20,191
25.2,-86,176
25.4,-154,133
25.6,-176,52
25.8,-172,-47
26,-118,-146
26.2,-28,-222
26.4,87,-252
26.6,192,-250
26.8,292,-203
27,353,-115
27.2,370,-25
27.4,345,62
27.6,282,125
27.8,195,148
28,106,128
28.2,25,66
28.4,-25,-9
28.6,-27,-99
28.8,1,-164
29,59,-199
29.2,147,-201
29.4,209,-170
29.6,234,-104
29.8,245,4
30,209,96
30.2,130,166
30.4,13,227
30.6,-90,229
30.8,-191,198
31,-267,128
31.2,-298,41
31.4,-306,-31
31.6,-252,-94
31.8,-184,-134
32,-107,-118
32.2,-47,-87
32.4,1,0
32.6,6,93
32.8,-21,159
33,-82,210
33.2,-164,232
33.4,-226,205
33.6,-280,143
33.8,-300,55
34,-278,-45
34.2,-211,-126
34.4,-120,-183
34.6,-5,-202
34.8,96,-176
35,170,-126
35.2,222,-57
35.4,226,23
35.6,196,80
35.8,155,120
36,88,121
36.2,18,69
36.4,-9,3
36.6,-11,-71
36.8,14,-154
37,70,-220
37.2,142,-237
37.4,224,-224
37.6,297,-185
37.8,316,-108
38,312,-21
38.2,281,65
38.4,199,124
38.6,108,161
38.8,14,152
39,-74,111
39.2,-126,51
39.4,-147,-21
39.6,-135,-84
39.8,-90,-121
40,-33,-129
40.2,10,-97
40.4,47,-45
40.6,55,40
40.8,29,124
41,-30,188
41.2,-104,237
41.4,-193,229
41.6,-255,203
41.8,-305,146
42,-329,59
42.2,-309,-3
42.4,-255,-63
42.6,-174,-117
42.8,-89,-113
43,-3,-78
43.2,53,-29
43.4,76,33
43.6,75,88
43.8,44,124
44,-11,134
44.2,-57,122
44.4,-97,66
44.6,-106,-14
44.8,-82,-91
45,-44,-164
45.2,32,-206
45.4,125,-223
45.6,205,-217
45.8,268,-166
46,298,-96
46.2,299,-27
46.4,265,34
46.6,209,73
46.8,129,75
47,60,59
47.2,13,27
47.4,-15,-36
47.6,-24,-96
47.8,3,-142
48,53,-168
48.2,107,-147
48.4,142,-108
48.6,165,-38
48.8,149,39
49,109,112
49.2,40,176
49.4,-51,192
49.6,-123,191
49.8,-197,164
50,-236,107
50.2,-248,49
50.4,-249,-15
50.6,-199,-54
50.8,-144,-57
51,-87,-33
51.2,-40,2
51.4,-13,53
51.6,-12,102
51.8,-30,142
52,-78,178
52.2,-133,180
52.4,-175,143
52.6,-198,81
52.8,-201,16
53,-168,-54
53.2,-113,-117
53.4,-32,-146
53.6,50,-160
53.8,115,-140
54,173,-97
54.2,195,-54
54.4,193,-9
54.6,173,35
54.8,122,52
55,79,29
55.2,48,-3
55.4,27,-49
55.6,31,-107
55.8,40,-159
56,87,-182
56.2,134,-192
56.4,187,-173
56.6,223,-129
56.8,227,-69
57,215,0
57.2,178,60
57.4,111,102
57.6,37,117
57.8,-35,107
58,-87,84
58.2,-117,29
58.4,-129,-9
58.6,-114,-37
58.8,-80,-65
59,-35,-49
59.2,-10,-21
59.4,4,27
59.6,11,84
59.8,-16,141
60,-74,177
60.2,-108,199
60.4,-173,192
60.6,-214,155
60.8,-233,98
61,-226,45
61.2,-197,-3
61.4,-161,-48
61.6,-95,-67
61.8,-35,-63
62,24,-48
62.2,59,-10
62.4,72,21
62.6,69,60
62.8,33,76
63,17,71
63.2,-13,45
63.4,-41,-4
63.6,-39,-54
63.8,-22,-115
64,35,-149
64.2,82,-185
64.4,120,-187
64.6,185,-169
64.8,223,-138
65,231,-90
65.2,224,-32
65.4,194,6
65.6,142,20
65.8,83,36
66,41,8
66.2,3,-26
66.4,-13,-52
66.6,-9,-74
66.8,6,-95
67,32,-91
67.2,61,-76
67.4,84,-48
67.6,88,14
67.8,71,66
68,32,112
68.2,-19,159
68.4,-68,161
68.6,-121,161
68.8,-180,141
69,-188,102
69.2,-192,66
69.4,-178,23
69.6,-128,0
69.8,-105,-1
70,-71,8
70.2,-37,34
70.4,-31,73
70.6,-24,100
70.8,-40,122
71,-69,125
71.2,-98,114
71.4,-115,78
71.6,-114,35
71.8,-113,-16
72,-91,-62
72.2,-47,-107
72.4,18,-128
72.6,65,-127
72.8,103,-114
73,128,-87
73.2,154,-67
73.4,147,-43
73.6,136,-16
73.8,103,-13
74,68,-16
