0,556.073,-106.448
0.2,500.717,84.4346
0.4,403.86,177.062
0.6,282.4,230.963
0.8,158.209,230.846
1,24.0336,183.257
1.2,-86,86
1.4,-139,-29
1.6,-133,-152
1.8,-91,-252
2,-21,-307
2.2,84,-305
2.4,161,-237
2.6,199,-139
2.8,205,-6
3,142,111
3.2,35,208
3.4,-101,260
3.6,-241,267
3.8,-354,232
4,-435,145
4.2,-468,36
4.4,-445,-71
4.6,-371,-153
4.8,-247,-196
5,-123,-176
5.2,-7,-110
5.4,61,-10
5.6,103,105
5.8,91,222
6,23,296
6.2,-56,322
6.4,-145,307
6.6,-217,235
6.8,-249,131
7,-238,6
7.2,-165,-118
7.4,-54,-225
7.6,84,-276
7.8,226,-265
8,329,-220
8.2,403,-134
8.4,422,-30
8.6,389,54
8.8,315,122
9,197,152
9.2,90,111
9.4,-7,39
9.6,-69,-62
9.8,-82,-188
10,-54,-289
10.2,25,-351
10.4,123,-371
10.6,211,-334
10.8,274,-251
11,298,-133
11.2,280,3
11.4,200,116
11.6,78,216
11.8,-47,254
12,-183,231
12.2,-284,186
12.4,-342,98
12.6,-353,1
12.8,-313,-76
13,-230,-125
13.2,-120,-120
13.4,-20,-80
13.6,70,-1
13.8,104,128
14,95,253
14.2,43,341
14.4,-40,392
14.6,-137,412
14.8,-228,363
15,-302,268
15.2,-319,152
15.4,-279,30
15.6,-200,-92
15.8,-89,-171
16,47,-200
16.2,165,-173
16.4,259,-105
16.6,304,-36
16.8,292,38
17,234,108
17.2,145,152
17.4,47,131
17.6,-46,66
17.8,-118,-43
18,-133,-173
18.2,-103,-278
18.4,-52,-383
18.6,34,-430
18.8,145,-425
19,235,-378
19.2,276,-283
19.4,290,-167
19.6,261,-47
19.8,166,53
20,56,113
20.2,-58,117
20.4,-161,95
20.6,-228,27
20.8,-269,-51
21,-248,-114
21.2,-176,-168
21.4,-84,-173
21.6,20,-144
21.8,108,-69
22,153,53
22.2,167,174
22.4,134,283
22.6,60,368
22.8,-27,424
23,-126,414
23.2,-208,362
23.4,-243,273
23.6,-235,167
23.8,-195,62
24,-124,-23
24.2,-11,-59
24.4,103,-57
24.6,189,-16
24.8,242,55
25,235,120
25.2,208,188
25.4,131,222
25.6,38,223
25.8,-56,164
26,-136,76
26.2,-175,-36
26.4,-186,-153
26.6,-147,-271
26.8,-67,-350
27,9,-384
27.2,97,-377
27.4,167,-327
27.6,200,-248
27.8,186,-149
28,140,-66
28.2,54,2
28.4,-56,21
28.6,-136,11
28.8,-208,-40
29,-260,-118
29.2,-259,-180
29.4,-196,-245
29.6,-121,-271
29.8,-28,-247
30,73,-191
30.2,137,-107
30.4,178,6
30.6,181,127
30.8,133,225
31,54,293
31.2,-23,332
31.4,-85,300
31.6,-138,253
31.8,-156,187
32,-139,101
32.2,-84,27
32.4,6,-6
32.6,104,-10
32.8,191,10
33,265,67
33.2,283,142
33.4,264,222
33.6,208,273
33.8,126,298
34,37,275
34.2,-53,224
34.4,-117,135
34.6,-139,14
34.8,-139,-93
35,-102,-179
35.2,-27,-241
35.4,41,-264
35.6,99,-236
35.8,145,-190
36,138,-124
36.2,90,-54
36.4,36,1
36.6,-55,41
36.8,-148,29
37,-243,-17
37.2,-294,-84
37.4,-297,-152
37.6,-278,-233
37.8,-223,-291
38,-140,-298
38.2,-60,-270
38.4,24,-211
38.6,69,-127
38.8,96,-27
39,82,64
39.2,41,139
39.4,-18,185
39.6,-86,183
39.8,-131,164
40,-142,115
40.2,-122,49
40.4,-90,-11
40.6,-13,-53
40.8,85,-69
41,166,-52
41.2,244,0
41.4,294,67
41.6,309,145
41.8,274,205
42,220,242
42.2,149,272
42.4,77,243
42.6,15,173
42.8,-35,94
43,-49,7
43.2,-22,-64
43.4,16,-132
43.6,75,-163
43.8,119,-158
44,160,-130
44.2,170,-65
44.4,146,2
44.6,94,56
44.8,20,85
45,-69,97
45.2,-163,67
45.4,-243,10
45.6,-294,-51
45.8,-300,-123
46,-274,-186
46.2,-224,-226
46.4,-162,-231
46.6,-89,-187
46.8,-38,-130
47,-10,-68
47.2,-1,12
47.4,-33,94
47.6,-80,135
47.8,-134,144
48,-172,135
48.2,-203,83
48.4,-210,32
48.6,-175,-20
48.8,-123,-80
49,-35,-117
49.2,69,-110
49.4,143,-78
49.6,210,-28
49.8,245,41
50,249,97
50.2,232,143
50.4,181,172
50.6,132,173
50.8,82,135
51,39,84
51.2,32,20
51.4,44,-53
51.6,80,-105
51.8,121,-144
52,175,-156
52.2,216,-119
52.4,238,-80
52.6,231,-24
52.8,189,38
53,132,73
53.2,54,102
53.4,-34,99
53.6,-108,68
53.8,-165,26
54,-197,-30
54.2,-198,-85
54.4,-171,-119
54.6,-141,-138
54.8,-103,-129
55,-62,-79
55.2,-31,-28
55.4,-32,32
55.6,-48,94
55.8,-89,148
56,-154,165
56.2,-198,154
56.4,-235,124
56.6,-254,82
56.8,-245,33
57,-204,-11
57.2,-148,-56
57.4,-89,-76
57.6,-3,-71
57.8,72,-47
58,106,-1
58.2,140,44
58.4,148,96
58.6,112,118
58.8,80,125
59,55,100
59.2,16,63
59.4,0,-3
59.6,15,-60
59.8,40,-124
60,90,-161
60.2,145,-169
60.4,188,-179
60.6,231,-153
60.8,251,-98
61,232,-59
61.2,203,-9
61.4,159,27
61.6,83,42
61.8,11,37
62,-42,-1
62.2,-83,-31
62.4,-86,-72
62.6,-80,-116
62.8,-74,-122
63,-31,-117
63.2,-3,-88
63.4,7,-43
63.6,26,15
63.8,7,80
64,-31,138
64.2,-77,173
64.4,-135,184
64.6,-177,179
64.8,-217,150
65,-225,114
65.2,-208,76
65.4,-186,35
65.6,-138,17
65.8,-73,9
66,-23,24
66.2,11,45
66.4,46,79
66.6,49,113
66.8,39,143
67,31,138
67.2,-6,129
67.4,-35,99
67.6,-48,46
67.8,-54,-11
68,-32,-65
68.2,2,-125
68.4,52,-168
68.6,95,-168
68.8,132,-163
69,170,-137
69.2,180,-114
69.4,166,-89
69.6,135,-57
69.8,98,-38
70,48,-43
70.2,10,-64
70.4,-25,-90
70.6,-43,-123
70.8,-42,-159
71,-42,-169
71.2,-5,-170
71.4,27,-147
71.6,42,-117
71.8,63,-63
72,71,-4
72.2,41,48
72.4,8,89
72.6,-35,120
72.8,-74,136
73,-113,136
73.2,-133,114
73.4,-134,104
73.6,-115,86
73.8,-86,59
74,-55,49
74.2,-19,58
74.4,26,88
74.6,45,121
74.8,51,152
75,42,177
75.2,29,189
75.4,4,188
75.6,-24,177
75.8,-44,140
76,-66,87
76.2,-67,33
76.4,-44,-11
76.6,-6,-58
76.8,28,-80
77,61,-92
