0,-205.809,-137.451
0.2,-161.015,-253.304
0.4,-63.6626,-303.392
0.6,45.3858,-293.495
0.8,147.264,-243.781
1,250.35,-151.212
1.2,293,-21
1.4,284,123
1.6,232,247
1.8,137,339
2,27,375
2.2,-79,355
2.4,-172,300
2.6,-225,215
2.8,-217,105
3,-158,1
3.2,-67,-62
3.4,34,-91
3.6,147,-71
3.8,227,-7
4,271,83
4.2,278,187
4.4,224,276
4.6,123,336
4.8,12,343
5,-110,301
5.2,-207,212
5.4,-260,92
5.6,-270,-41
5.8,-237,-164
6,-169,-264
6.2,-62,-304
6.4,35,-292
6.6,108,-246
6.8,152,-166
7,148,-63
7.2,96,27
7.4,9,100
7.6,-99,120
7.8,-211,92
8,-299,41
8.2,-351,-58
8.4,-348,-162
8.6,-298,-258
8.8,-213,-329
9,-100,-352
9.2,31,-318
9.4,144,-234
9.6,200,-128
9.8,226,-9
10,199,103
10.2,139,193
10.4,50,237
10.6,-51,238
10.8,-113,186
11,-150,107
11.2,-145,10
11.4,-87,-83
11.6,-1,-154
11.8,113,-182
12,227,-167
12.2,325,-100
12.4,391,-11
12.6,402,101
12.8,353,206
13,268,281
13.2,161,313
13.4,49,286
13.6,-52,222
13.8,-133,133
14,-157,24
14.2,-150,-88
14.4,-99,-177
14.6,-13,-220
14.8,73,-206
15,142,-155
15.2,173,-69
15.4,163,34
15.6,111,125
15.8,29,209
16,-88,251
16.2,-216,220
16.4,-310,174
16.6,-378,96
16.8,-411,-6
17,-381,-108
17.2,-314,-192
17.4,-217,-217
17.6,-108,-219
17.8,7,-171
18,73,-80
18.2,93,16
18.4,79,116
18.6,35,185
18.8,-40,221
19,-113,208
19.2,-169,160
19.4,-225,75
19.6,-219,-35
19.8,-166,-135
20,-74,-217
20.2,13,-259
20.4,140,-260
20.6,245,-234
20.8,318,-155
21,358,-64
21.2,338,20
21.4,280,93
21.6,203,133
21.8,108,142
22,19,97
22.2,-48,21
22.4,-83,-62
22.6,-72,-155
22.8,-16,-220
23,59,-261
23.2,132,-249
23.4,206,-202
23.6,258,-115
23.8,253,-7
24,215,94
24.2,138,187
24.4,47,241
24.6,-72,246
24.8,-169,231
25,-241,183
25.2,-276,113
25.4,-266,26
25.6,-216,-43
25.8,-148,-71
26,-64,-73
26.2,23,-44
26.4,80,30
26.6,121,127
26.8,109,217
27,53,282
27.2,-27,303
27.4,-108,310
27.6,-170,270
27.8,-236,183
28,-255,89
28.2,-233,-25
28.4,-172,-114
28.6,-95,-180
28.8,4,-208
29,111,-194
29.2,175,-158
29.4,204,-89
29.6,202,-19
29.8,156,38
30,84,69
30.2,2,62
30.4,-84,23
30.6,-144,-45
