0,-232.522,-195.191
0.2,-114.87,-209.123
0.4,-2.98418,-220.83
0.6,140.192,-188.603
0.8,247.761,-112.438
1,314.44,21.0294
1.2,322,163
1.4,268,298
1.6,189,379
1.8,76,420
2,-38,404
2.2,-135,338
2.4,-185,216
2.6,-180,95
2.8,-130,-6
3,-40,-81
3.2,78,-114
3.4,176,-86
3.6,252,-13
3.8,283,77
4,260,174
4.2,188,251
4.4,77,286
4.6,-63,265
4.8,-179,190
5,-262,75
5.2,-307,-51
5.4,-283,-189
5.6,-212,-290
5.8,-121,-367
6,2,-380
6.2,101,-323
6.4,162,-247
6.6,182,-137
6.8,131,-29
7,49,58
7.2,-54,77
7.4,-162,60
7.6,-256,14
7.8,-309,-86
8,-291,-191
8.2,-234,-282
8.4,-140,-335
8.6,-14,-334
8.8,95,-282
9,192,-186
9.2,259,-67
9.4,251,70
9.6,197,198
9.8,117,288
10,17,317
10.2,-93,281
10.4,-151,213
10.6,-170,125
10.8,-156,31
11,-74,-46
11.2,28,-90
11.4,141,-80
11.6,247,-29
11.8,308,62
12,321,165
12.2,276,279
12.4,198,351
12.6,94,374
12.8,-39,354
13,-138,267
13.2,-209,156
13.4,-221,31
13.6,-188,-90
13.8,-120,-190
14,-19,-249
14.2,75,-245
14.4,153,-182
14.6,190,-108
14.8,182,-10
15,111,56
15.2,6,110
15.4,-99,118
15.6,-206,62
15.8,-288,-24
16,-333,-133
16.2,-312,-248
16.4,-245,-337
16.6,-140,-388
16.8,-31,-382
17,71,-335
17.2,148,-242
17.4,181,-119
17.6,149,4
17.8,92,103
18,15,157
18.2,-78,175
18.4,-169,132
18.6,-206,61
18.8,-207,-22
19,-155,-101
19.2,-61,-151
19.4,40,-159
19.6,154,-127
19.8,250,-42
20,293,64
20.2,292,181
20.4,250,271
20.6,188,340
20.8,90,365
21,-26,341
21.2,-103,275
21.4,-130,176
21.6,-125,66
21.8,-80,-34
22,-10,-79
22.2,83,-102
22.4,174,-95
22.6,232,-28
22.8,238,49
23,195,118
23.2,124,173
23.4,25,200
23.6,-84,181
23.8,-184,119
24,-249,29
24.2,-274,-99
24.4,-251,-208
24.6,-182,-291
24.8,-109,-330
25,-22,-326
25.2,52,-280
25.4,105,-201
25.6,110,-112
25.8,72,-21
26,3,50
26.2,-87,69
26.4,-175,57
26.6,-237,10
26.8,-264,-74
27,-238,-151
27.2,-177,-219
27.4,-96,-250
27.6,6,-242
27.8,107,-195
28,187,-115
28.2,217,-4
28.4,219,113
28.6,178,207
28.8,99,257
29,26,277
29.2,-47,264
29.4,-93,198
29.6,-112,106
29.8,-91,30
30,-15,-28
30.2,72,-67
30.4,155,-55
30.6,239,-3
30.8,280,71
31,273,147
31.2,226,211
31.4,156,257
31.6,53,267
31.8,-52,246
32,-120,184
32.2,-167,77
32.4,-175,-38
32.6,-152,-118
32.8,-95,-189
33,-13,-227
33.2,48,-206
33.4,92,-165
33.6,123,-106
33.8,100,-30
34,35,33
34.2,-46,66
34.4,-136,57
34.6,-208,17
34.8,-260,-53
35,-289,-124
35.2,-262,-206
35.4,-203,-279
35.6,-128,-287
35.8,-26,-280
36,40,-235
36.2,103,-148
36.4,133,-59
36.6,113,30
36.8,66,119
37,5,149
37.2,-57,144
37.4,-114,125
37.6,-138,64
37.8,-122,4
38,-87,-56
38.2,-5,-90
38.4,88,-80
38.6,168,-46
38.8,235,9
39,255,83
39.2,263,168
39.4,229,231
39.6,144,269
39.8,78,296
40,-4,262
40.2,-61,188
40.4,-83,108
40.6,-76,21
40.8,-38,-50
41,20,-85
41.2,88,-107
41.4,142,-89
41.6,152,-38
41.8,157,18
42,123,79
42.2,51,118
42.4,-29,130
42.6,-114,98
42.8,-173,41
43,-232,-31
43.2,-240,-117
43.4,-219,-184
43.6,-182,-239
43.8,-109,-262
44,-39,-255
44.2,22,-199
44.4,48,-134
44.6,42,-62
44.8,13,4
45,-40,47
45.2,-103,67
45.4,-154,51
45.6,-190,9
45.8,-197,-54
46,-169,-108
46.2,-124,-139
46.4,-41,-159
46.6,47,-143
46.8,118,-99
47,181,-32
47.2,206,50
47.4,190,118
47.6,158,181
47.8,102,215
48,44,214
48.2,2,186
48.4,-28,140
48.6,-36,79
48.8,-10,21
49,38,-17
49.2,96,-38
49.4,154,-18
49.6,195,1
49.8,225,53
50,209,109
50.2,153,162
50.4,88,178
50.6,22,177
50.8,-44,148
51,-108,83
51.2,-143,14
51.4,-147,-60
51.6,-118,-118
51.8,-84,-161
52,-36,-173
52.2,9,-156
52.4,26,-124
52.6,36,-72
52.8,8,-17
53,-37,5
53.2,-91,29
53.4,-153,30
53.6,-199,-7
53.8,-226,-58
54,-234,-107
54.2,-210,-164
54.4,-149,-183
54.6,-84,-191
54.8,-24,-183
55,42,-128
55.2,87,-67
55.4,90,-1
55.6,77,56
55.8,52,112
56,9,126
56.2,-26,119
56.4,-45,97
56.6,-62,59
56.8,-32,16
57,3,-23
57.2,55,-42
57.4,118,-30
57.6,176,-8
57.8,218,38
58,223,81
58.2,217,137
58.4,183,171
58.6,123,185
58.8,66,187
59,9,161
59.2,-26,110
59.4,-36,50
59.6,-41,-15
59.8,-7,-60
60,21,-91
60.2,57,-87
60.4,89,-63
60.6,87,-31
60.8,72,1
61,42,37
61.2,-8,63
61.4,-64,63
61.6,-125,49
61.8,-177,12
62,-206,-50
62.2,-216,-106
62.4,-187,-158
62.6,-144,-180
62.8,-104,-182
63,-59,-166
63.2,-23,-136
63.4,-7,-77
63.6,-4,-28
63.8,-15,14
64,-48,38
64.2,-89,36
64.4,-112,32
64.6,-120,10
64.8,-123,-21
65,-88,-60
65.2,-43,-80
65.4,7,-77
65.6,70,-71
65.8,117,-39
66,150,4
66.2,169,52
66.4,153,112
66.6,137,153
66.8,118,152
67,76,156
67.2,42,137
67.4,24,86
67.6,22,58
67.8,40,19
68,71,-19
68.2,105,-31
68.4,136,-13
68.6,163,4
68.8,146,32
69,125,70
69.2,91,91
69.4,45,103
69.6,-10,102
69.8,-75,62
70,-104,25
70.2,-121,-17
70.4,-124,-64
70.6,-113,-103
70.8,-90,-121
71,-69,-122
71.2,-45,-109
71.4,-29,-81
71.6,-30,-51
71.8,-49,-12
72,-84,-5
72.2,-110,14
72.4,-139,15
72.6,-155,-10
72.8,-171,-46
73,-166,-66
73.2,-146,-97
73.4,-104,-112
73.6,-56,-117
73.8,-10,-98
74,30,-61
74.2,68,-21
74.4,80,31
74.6,70,68
74.8,54,82
75,38,89
75.2,16,83
75.4,3,67
75.6,11,45
75.8,30,18
76,57,1
76.2,88,-12
76.4,120,-7
76.6,156,3
76.8,178,23
77,174,63
77.2,160,89
77.4,140,104
77.6,100,111
77.8,50,106
78,20,83
78.2,-1,50
78.4,-17,10
78.6,-24,-22
78.8,-22,-44
79,-7,-62
79.2,14,-70
79.4,16,-53
79.6,15,-33
79.8,2,-8
80,-22,15
80.2,-59,23
80.4,-94,18
80.6,-138,1
80.8,-159,-20
81,-177,-43
81.2,-175,-73
81.4,-143,-92
81.6,-123,-111
81.8,-101,-112
82,-69,-97
82.2,-45,-67
82.4,-30,-34
82.6,-18,-6
82.8,-28,11
83,-36,26
83.2,-44,38
83.4,-56,23
83.6,-52,5
83.8,-52,-4
84,-24,-29
84.2,24,-37
84.4,56,-36
84.6,86,-30
84.8,114,-14
85,137,15
85.2,142,49
85.4,148,74
85.6,128,81
85.8,100,92
86,87,86
86.2,73,76
86.4,60,52
86.6,54,20
86.8,56,3
87,77,-12
87.2,90,-21
87.4,97,-16
87.6,89,6
87.8,74,15
88,53,29
88.2,38,39
88.4,0,35
88.6,-45,40
88.8,-69,19
89,-99,2
89.2,-113,-22
89.4,-120,-50
89.6,-106,-72
89.8,-101,-75
90,-92,-75
90.2,-91,-59
90.4,-72,-49
90.6,-77,-26
90.8,-78,-12
91,-93,-9
91.2,-106,6
91.4,-120,9
91.6,-133,-10
91.8,-124,-27
92,-113,-35
92.2,-86,-40
92.4,-55,-54
92.6,-32,-59
92.8,-5,-27
93,36,-25
93.2,63,-1
93.4,69,21
93.6,71,28
93.8,67,48
94,59,55
94.2,57,50
94.4,60,39
94.6,58,26
94.8,70,9
95,92,7
95.2,116,-8
95.4,129,4
95.6,133,15
95.8,141,23
96,127,33
96.2,112,45
96.4,92,51
96.6,54,55
96.8,42,52
97,30,35
97.2,0,14
97.4,-20,4
97.6,-31,-17
97.8,-31,-36
98,-34,-34
98.2,-32,-29
98.4,-29,-22
98.6,-38,-22
98.8,-54,-7
99,-76,1
99.2,-89,11
99.4,-106,10
99.6,-130,-4
99.8,-132,-15
100,-138,-27
100.2,-131,-39
100.4,-113,-50
100.6,-112,-51
100.8,-85,-36
101,-68,-34
101.2,-47,-24
101.4,-31,-11
101.6,-31,6
101.8,-24,15
102,-13,8
102.2,-17,23
102.4,-13,12
102.6,8,7
102.8,26,-3
103,32,-15
103.2,51,-16
103.4,81,-12
103.6,102,-11
103.8,98,-1
104,121,11
104.2,132,30
104.4,118,31
104.6,117,42
104.8,108,44
105,86,40
105.2,75,28
105.4,73,17
105.6,74,12
105.8,61,-3
106,50,-12
106.2,47,-4
106.4,32,-5
106.6,33,-6
106.8,30,9
107,16,9
107.2,-6,13
107.4,-42,23
107.6,-61,10
107.8,-83,-4
108,-92,-8
108.2,-95,-7
108.4,-110,-21
108.6,-106,-33
108.8,-101,-34
109,-89,-33
109.2,-95,-14
109.4,-97,-10
109.6,-93,-7
109.8,-91,-5
110,-95,-3
110.2,-93,-1
110.4,-96,3
110.6,-86,4
110.8,-65,-8
111,-48,-16
111.2,-40,-16
111.4,-15,-19
111.6,18,-23
111.8,24,-18
112,37,-7
112.2,50,6
112.4,57,14
112.6,75,10
112.8,79,17
113,85,22
113.2,91,15
113.4,82,15
113.6,82,-7
113.8,91,-14
114,101,0
114.2,97,-9
114.4,102,-15
114.6,102,-5
114.8,87,7
115,85,7
115.2,69,13
115.4,46,15
115.6,28,21
115.8,24,15
116,7,5
116.2,-11,1
116.4,-29,6
116.6,-42,4
116.8,-43,-4
117,-51,-3
117.2,-62,-7
117.4,-66,-7
117.6,-71,2
117.8,-81,6
118,-92,6
118.2,-97,3
118.4,-116,13
118.6,-110,9
118.8,-102,-5
119,-126,-2
119.2,-106,-9
119.4,-84,-20
119.6,-70,-8
119.8,-62,-11
120,-48,-14
120.2,-32,-3
120.4,-33,4
120.6,-13,0
120.8,-4,3
121,1,6
121.2,11,3
121.4,26,3
121.6,47,-2
121.8,53,-15
122,62,-19
122.2,66,-17
122.4,84,-10
122.6,101,-15
122.8,103,-10
123,107,-2
123.2,115,6
123.4,103,11
123.6,96,-2
123.8,84,17
124,83,10
124.2,77,0
124.4,60,5
124.6,49,-4
124.8,34,-4
125,29,-4
125.2,25,-8
125.4,8,5
125.6,-10,14
125.8,-16,0
126,-35,3
126.2,-51,16
126.4,-54,20
126.6,-68,14
126.8,-81,12
127,-86,8
127.2,-94,4
127.4,-98,3
127.6,-105,8
127.8,-96,3
128,-86,1
128.2,-81,-12
128.4,-88,14
128.6,-79,11
128.8,-70,7
129,-66,7
129.2,-49,3
129.4,-55,2
129.6,-39,4
129.8,-22,2
130,-22,-1
130.2,1,-1
130.4,12,-14
130.6,21,-12
130.8,34,-5
131,54,-11
131.2,69,-13
131.4,71,-10
131.6,76,-18
131.8,85,-17
132,89,-12
132.2,97,1
132.4,91,-11
132.6,91,-16
132.8,96,-16
133,91,-15
133.2,82,-15
133.4,81,-14
133.6,72,-2
133.8,60,-2
134,54,3
134.2,46,6
134.4,25,4
134.6,11,-1
134.8,4,4
135,-9,2
135.2,-34,1
135.4,-34,11
135.6,-40,15
135.8,-58,12
136,-63,11
136.2,-70,3
136.4,-81,14
136.6,-85,17
136.8,-87,12
137,-95,17
137.2,-94,18
137.4,-96,14
137.6,-108,15
137.8,-98,17
138,-77,12
138.2,-64,13
138.4,-63,10
138.6,-57,2
138.8,-36,-1
139,-24,7
139.2,-14,-3
139.4,-2,-1
139.6,6,-4
139.8,19,-8
140,40,-8
140.2,50,-11
140.4,55,-12
140.6,62,-13
140.8,76,-20
141,72,-21
141.2,81,-13
141.4,86,-17
141.6,91,-19
141.8,93,-17
142,92,-28
142.2,99,-27
142.4,81,-10
142.6,72,-11
142.8,63,-8
143,57,-6
143.2,47,-7
143.4,35,-4
143.6,35,-4
143.8,16,3
144,2,3
144.2,-10,-6
144.4,-13,2
144.6,-31,11
144.8,-47,6
145,-55,17
145.2,-61,20
145.4,-60,27
145.6,-73,16
145.8,-82,22
146,-90,29
146.2,-95,26
146.4,-82,28
146.6,-88,16
146.8,-82,19
147,-78,16
147.2,-84,14
147.4,-70,14
147.6,-54,23
147.8,-49,6
148,-37,2
148.2,-25,4
148.4,-19,-6
148.6,-5,6
148.8,7,-4
149,9,-11
149.2,24,-14
149.4,37,-12
149.6,46,-15
149.8,49,-16
150,71,-19
150.2,78,-19
150.4,70,-28
150.6,73,-34
150.8,75,-27
151,86,-28
151.2,89,-28
151.4,75,-22
151.6,86,-20
151.8,80,-17
152,64,-28
152.2,60,-29
152.4,43,-21
152.6,41,-11
152.8,24,-11
153,13,-4
153.2,6,2
153.4,2,3
153.6,-7,6
153.8,-14,7
154,-26,18
154.2,-51,25
154.4,-51,18
154.6,-57,21
154.8,-77,28
155,-77,36
155.2,-80,40
155.4,-84,28
155.6,-80,32
155.8,-76,27
156,-87,28
156.2,-78,38
156.4,-70,29
156.6,-65,32
156.8,-58,27
157,-53,11
157.2,-50,22
157.4,-37,17
157.6,-22,1
157.8,-18,-2
158,-9,6
158.2,-1,0
158.4,18,-4
158.6,37,-8
158.8,42,-23
159,42,-19
159.2,58,-25
159.4,58,-29
159.6,58,-26
159.8,72,-31
160,69,-26
160.2,71,-38
160.4,77,-34
160.6,78,-26
160.8,79,-37
161,69,-34
161.2,74,-25
161.4,58,-24
161.6,52,-17
161.8,50,-13
162,34,-11
162.2,24,-8
162.4,12,1
162.6,1,-2
162.8,-8,9
163,-12,14
163.2,-21,8
163.4,-30,20
163.6,-40,21
163.8,-50,19
164,-54,29
164.2,-68,33
164.4,-76,32
164.6,-74,38
164.8,-80,40
165,-77,41
165.2,-76,40
165.4,-62,35
165.6,-58,31
165.8,-58,35
166,-58,27
166.2,-52,19
166.4,-40,29
166.6,-39,15
