0,-309.395,97.3696
0.2,-353.447,-14.727
0.4,-325.276,-103.452
0.6,-254.16,-149.269
0.8,-181.095,-162.189
1,-110.154,-153.214
1.2,-35,-117
1.4,20,-49
1.6,29,19
1.8,4,81
2,-27,123
2.2,-76,124
2.4,-133,106
2.6,-152,44
2.8,-146,-32
3,-118,-100
3.2,-49,-172
3.4,59,-208
3.6,158,-203
3.8,246,-170
4,307,-108
4.2,326,-25
4.4,316,51
4.6,284,110
4.8,216,137
5,126,131
5.2,73,102
5.4,29,44
5.6,22,-34
5.8,36,-92
6,74,-131
6.2,137,-145
6.4,184,-125
6.6,222,-67
6.8,220,7
7,191,76
7.2,134,145
7.4,47,196
7.6,-54,214
7.8,-156,178
8,-219,130
8.2,-270,62
8.4,-279,-14
8.6,-244,-86
8.8,-213,-120
9,-153,-125
9.2,-84,-88
9.4,-57,-44
9.6,-38,22
9.8,-42,108
10,-99,140
10.2,-157,171
10.4,-224,165
10.6,-269,109
10.8,-300,37
11,-282,-35
11.2,-225,-121
11.4,-155,-174
11.6,-55,-201
11.8,49,-194
12,142,-150
12.2,192,-83
12.4,218,1
12.6,206,72
12.8,168,100
13,106,111
13.2,44,94
13.4,14,48
13.6,7,-30
13.8,31,-112
14,70,-162
14.2,149,-191
14.4,221,-179
14.6,280,-136
14.8,327,-82
15,334,-3
15.2,301,90
15.4,235,156
15.6,139,190
15.8,44,188
16,-44,148
16.2,-115,87
16.4,-142,8
16.6,-135,-54
16.8,-106,-102
17,-51,-120
17.2,-3,-108
17.4,35,-56
17.6,44,23
17.8,22,92
18,-30,169
18.2,-111,203
18.4,-192,207
18.6,-281,187
18.8,-324,126
19,-351,45
19.2,-341,-31
19.4,-287,-116
19.6,-214,-155
19.8,-119,-154
20,-36,-138
20.2,37,-82
20.4,70,-9
20.6,70,52
20.8,47,106
21,-5,139
21.2,-51,121
21.4,-88,74
21.6,-109,9
21.8,-94,-78
22,-53,-145
22.2,28,-194
22.4,111,-221
22.6,202,-205
22.8,291,-157
23,332,-93
23.2,336,-16
23.4,315,66
23.6,239,102
23.8,169,133
24,103,118
24.2,40,73
24.4,-3,17
24.6,-13,-67
24.8,13,-113
25,44,-140
25.2,102,-139
25.4,148,-114
25.6,170,-44
25.8,167,27
26,126,108
26.2,50,178
26.4,-30,205
26.6,-127,200
26.8,-212,172
27,-269,112
27.2,-293,48
27.4,-283,-13
27.6,-243,-83
27.8,-191,-104
28,-123,-95
28.2,-51,-61
28.4,-20,-3
28.6,-18,66
28.8,-37,124
29,-83,165
29.2,-142,165
29.4,-198,136
29.6,-227,86
29.8,-235,9
30,-206,-71
30.2,-151,-130
30.4,-60,-176
30.6,35,-199
30.8,114,-185
31,201,-121
31.2,231,-57
31.4,227,-3
31.6,211,58
31.8,164,83
32,100,92
32.2,45,54
32.4,27,-3
32.6,19,-62
32.8,43,-125
33,86,-172
33.2,144,-188
33.4,211,-162
33.6,260,-121
33.8,283,-50
34,266,27
34.2,227,86
34.4,156,142
34.6,70,172
34.8,-25,161
35,-98,125
35.2,-151,70
35.4,-164,-2
35.6,-155,-49
35.8,-112,-77
36,-72,-92
36.2,-35,-62
36.4,9,2
36.6,14,57
36.8,-15,126
37,-61,165
37.2,-124,193
37.4,-187,198
37.6,-258,154
37.8,-296,93
38,-293,40
38.2,-272,-32
38.4,-225,-98
38.6,-142,-126
38.8,-55,-124
39,11,-106
39.2,68,-67
39.4,92,-5
39.6,77,50
39.8,56,75
40,22,98
40.2,-18,77
40.4,-44,27
40.6,-57,-29
40.8,-31,-94
41,13,-152
41.2,79,-188
41.4,154,-209
41.6,215,-175
41.8,268,-133
42,283,-75
42.2,283,5
42.4,242,45
42.6,185,81
42.8,108,99
43,41,90
43.2,0,47
43.4,-24,-4
43.6,-30,-47
43.8,-12,-92
44,30,-118
44.2,67,-102
44.4,92,-53
44.6,102,12
44.8,98,70
45,60,130
45.2,-10,183
45.4,-80,201
45.6,-157,198
45.8,-217,155
46,-250,107
46.2,-274,50
46.4,-258,-4
46.6,-215,-43
46.8,-149,-63
47,-92,-60
47.2,-50,-27
47.4,-13,29
47.6,-11,85
47.8,-39,119
48,-73,124
48.2,-113,135
48.4,-142,104
48.6,-152,40
48.8,-158,-37
49,-134,-82
49.2,-65,-130
49.4,4,-170
49.6,81,-172
49.8,141,-158
50,180,-130
50.2,216,-69
50.4,209,-9
50.6,182,23
50.8,135,39
51,96,31
51.2,60,8
51.4,21,-37
51.6,38,-72
51.8,49,-113
52,82,-153
52.2,131,-148
52.4,166,-125
52.6,183,-84
52.8,192,-28
53,176,34
53.2,127,87
53.4,74,125
53.6,11,148
53.8,-63,132
54,-115,104
54.2,-146,65
54.4,-160,15
54.6,-147,-17
54.8,-122,-28
55,-86,-28
55.2,-35,-6
55.4,-29,43
55.6,-36,87
55.8,-45,126
56,-82,154
56.2,-133,168
56.4,-177,163
56.6,-215,137
56.8,-226,71
57,-217,25
57.2,-188,-27
57.4,-134,-81
57.6,-81,-100
57.8,-21,-100
58,36,-81
58.2,82,-49
58.4,92,-3
58.6,82,14
58.8,69,29
59,43,43
59.2,8,21
59.4,-10,-28
59.6,4,-66
59.8,22,-112
60,52,-150
60.2,101,-168
60.4,146,-170
60.6,187,-145
60.8,224,-104
61,232,-61
61.2,214,-16
61.4,177,28
61.6,125,63
61.8,75,64
62,30,50
62.2,-16,38
62.4,-42,-5
62.6,-29,-34
62.8,-16,-54
63,-2,-52
63.2,32,-36
63.4,46,-4
63.6,41,47
63.8,26,87
64,0,134
64.2,-50,167
64.4,-111,181
64.6,-159,162
64.8,-188,126
65,-204,95
65.2,-206,49
65.4,-193,12
65.6,-160,-12
65.8,-108,-24
66,-59,-15
66.2,-33,3
66.4,-10,38
66.6,-13,58
66.8,-24,68
67,-49,83
67.2,-81,69
67.4,-92,48
67.6,-97,3
67.8,-87,-53
68,-58,-82
68.2,-6,-122
68.4,49,-149
68.6,95,-150
68.8,137,-134
69,158,-107
69.2,164,-67
69.4,162,-38
69.6,144,-19
69.8,118,1
70,90,-11
70.2,66,-28
70.4,48,-47
70.6,36,-75
70.8,63,-107
71,79,-112
71.2,91,-94
71.4,122,-76
71.6,126,-41
71.8,115,7
72,103,51
72.2,64,86
72.4,11,107
72.6,-41,128
72.8,-70,108
73,-110,96
73.2,-125,79
73.4,-131,38
73.6,-115,26
73.8,-102,23
74,-80,23
74.2,-48,38
74.4,-44,65
74.6,-52,99
74.8,-59,119
75,-83,132
75.2,-117,126
75.4,-144,104
75.6,-160,77
75.8,-159,49
76,-149,10
76.2,-118,-30
76.4,-82,-54
76.6,-35,-77
76.8,19,-82
77,42,-75
77.2,65,-61
77.4,93,-32
77.6,77,-10
77.8,62,-9
78,51,-14
78.2,39,-29
78.4,29,-58
78.6,33,-86
78.8,45,-117
79,65,-134
79.2,103,-151
79.4,132,-151
79.6,160,-117
79.8,164,-80
80,160,-43
80.2,143,-8
80.4,109,17
80.6,76,36
80.8,43,51
81,2,33
81.2,-14,25
81.4,-26,-1
81.6,-42,-9
81.8,-35,-13
82,-14,-3
82.2,0,11
82.4,3,37
82.6,-8,73
82.8,-17,102
83,-41,125
83.2,-70,148
83.4,-98,145
83.6,-132,130
83.8,-152,116
84,-153,84
84.2,-143,42
84.4,-136,27
84.6,-104,9
84.8,-72,2
85,-54,11
85.2,-32,10
85.4,-24,29
85.6,-25,32
85.8,-18,34
86,-27,37
86.2,-36,11
86.4,-39,-13
86.6,-41,-37
86.8,-19,-69
87,-10,-85
87.2,22,-109
87.4,62,-132
87.6,84,-127
87.8,105,-113
88,132,-90
88.2,138,-77
88.4,130,-55
88.6,111,-53
88.8,96,-40
89,79,-26
