0,-214.315,22.7022
0.2,-241.522,-51.0535
0.4,-178.056,-113.399
0.6,-72.6172,-128.089
0.8,18.9055,-101.493
1,107.15,-44.0617
1.2,162,63
1.4,176,171
1.6,144,268
1.8,74,327
2,-2,364
2.2,-88,341
2.4,-154,274
2.6,-192,187
2.8,-190,94
3,-139,3
3.2,-58,-85
3.4,45,-107
3.6,142,-80
3.8,205,-45
4,244,27
4.2,239,108
4.4,182,162
4.6,95,186
4.8,2,156
5,-89,96
5.2,-145,18
5.4,-168,-100
5.6,-142,-209
5.8,-83,-294
6,-8,-329
6.2,85,-331
6.4,151,-292
6.6,191,-216
6.8,196,-127
7,152,-39
7.2,83,31
7.4,-12,55
7.6,-102,39
7.8,-186,4
8,-231,-61
8.2,-229,-143
8.4,-193,-209
8.6,-111,-236
8.8,-18,-234
9,67,-181
9.2,126,-94
9.4,164,13
9.6,155,120
9.8,100,225
10,16,292
10.2,-67,301
10.4,-148,264
10.6,-194,206
10.8,-207,134
11,-173,48
11.2,-102,-10
11.4,-18,-37
11.6,67,-27
11.8,157,19
12,207,81
12.2,221,158
12.4,196,238
12.6,124,280
12.8,34,291
13,-50,248
13.2,-124,176
13.4,-166,80
13.6,-159,-30
13.8,-117,-136
14,-39,-203
14.2,53,-232
14.4,127,-220
14.6,189,-179
14.8,218,-115
15,190,-44
15.2,146,21
15.4,64,51
15.6,-45,39
15.8,-122,-6
16,-173,-72
16.2,-206,-165
16.4,-192,-241
16.6,-131,-306
16.8,-39,-332
17,32,-300
17.2,99,-246
17.4,152,-158
17.6,153,-52
17.8,123,52
18,54,131
18.2,-39,160
18.4,-108,163
18.6,-180,131
18.8,-221,82
19,-205,6
19.2,-159,-49
19.4,-77,-79
19.6,5,-82
19.8,88,-37
20,153,42
20.2,186,128
20.4,175,209
20.6,128,278
20.8,61,319
21,-26,321
21.2,-91,286
21.4,-139,214
21.6,-155,123
21.8,-122,28
22,-62,-51
22.2,14,-92
22.4,92,-98
22.6,157,-68
22.8,209,-24
23,216,32
23.2,182,99
23.4,116,133
23.6,26,127
23.8,-66,99
24,-131,18
24.2,-160,-72
24.4,-159,-157
24.6,-118,-237
24.8,-63,-287
25,8,-302
25.2,80,-289
25.4,131,-239
25.6,146,-151
25.8,133,-76
26,85,-6
26.2,9,38
26.4,-67,50
26.6,-132,25
26.8,-180,-17
27,-208,-74
27.2,-184,-135
27.4,-121,-177
27.6,-53,-184
27.8,37,-156
28,104,-97
28.2,143,-19
28.4,147,79
28.6,127,174
28.8,67,239
29,-5,276
29.2,-80,276
29.4,-125,231
29.6,-145,162
29.8,-141,98
30,-97,27
30.2,-41,-10
30.4,42,-25
30.6,120,-6
30.8,173,42
31,198,102
31.2,192,165
31.4,151,208
31.6,74,226
31.8,-6,219
32,-75,164
32.2,-123,85
32.4,-135,-8
32.6,-120,-91
32.8,-75,-162
33,-11,-208
33.2,73,-219
33.4,117,-202
33.6,151,-149
33.8,163,-80
34,119,-20
34.2,55,10
34.4,-22,14
34.6,-92,-8
34.8,-152,-41
35,-187,-98
35.2,-183,-177
35.4,-150,-231
35.6,-89,-260
35.8,-13,-253
36,44,-220
36.2,90,-162
36.4,113,-74
36.6,100,17
36.8,66,79
37,11,127
37.2,-57,152
37.4,-117,144
37.6,-139,104
37.8,-154,42
38,-134,3
38.2,-84,-37
38.4,-9,-48
38.6,64,-18
38.8,115,18
39,158,82
39.2,162,150
39.4,139,219
39.6,98,265
39.8,26,268
40,-37,250
40.2,-82,190
40.4,-100,119
40.6,-97,53
40.8,-69,-27
41,-19,-70
41.2,37,-89
41.4,108,-80
41.6,148,-49
41.8,170,-10
42,144,30
42.2,101,65
42.4,46,85
42.6,-25,74
42.8,-91,20
43,-138,-50
43.2,-151,-125
43.4,-136,-186
43.6,-93,-237
43.8,-44,-261
44,19,-263
44.2,68,-230
44.4,93,-169
44.6,98,-104
44.8,62,-44
45,15,2
45.2,-42,44
45.4,-92,38
45.6,-149,9
45.8,-173,-29
46,-163,-70
46.2,-134,-120
46.4,-76,-133
46.6,-10,-114
46.8,50,-73
47,98,-10
47.2,124,58
47.4,117,132
47.6,81,191
47.8,37,227
48,-13,235
48.2,-54,217
48.4,-92,176
48.6,-101,119
48.8,-77,69
49,-32,27
49.2,35,-5
49.4,89,-4
49.6,134,16
49.8,158,61
50,164,101
50.2,132,133
50.4,80,161
50.6,31,154
50.8,-21,125
51,-68,81
51.2,-93,0
51.4,-94,-66
51.6,-70,-116
51.8,-35,-160
