0,83.1571,-60.4527
0.2,145.306,22.5813
0.4,147.22,127.325
0.6,103.883,206.757
0.8,41.791,268.657
1,-37.0519,292.409
1.2,-123,275
1.4,-174,222
1.6,-183,152
1.8,-168,92
2,-108,20
2.2,-32,-14
2.4,43,-8
2.6,112,28
2.8,161,83
3,175,149
3.2,160,214
3.4,98,264
3.6,16,276
3.8,-58,234
4,-125,171
4.2,-166,83
4.4,-166,-34
4.6,-129,-130
4.8,-72,-192
5,9,-225
5.2,83,-238
5.4,139,-196
5.6,175,-134
5.8,174,-69
6,125,-11
6.2,55,13
6.4,-25,13
6.6,-114,-19
6.8,-166,-91
7,-185,-158
7.2,-171,-236
7.4,-119,-301
7.6,-47,-317
7.8,37,-298
8,107,-239
8.2,153,-167
8.4,172,-68
8.6,142,35
8.8,89,113
9,10,166
9.2,-72,179
9.4,-140,156
9.6,-170,103
9.8,-175,46
10,-140,-21
10.2,-84,-64
10.4,7,-63
10.6,83,-21
10.8,158,39
11,192,126
11.2,181,224
11.4,143,284
11.6,78,340
11.8,-21,351
12,-102,302
12.2,-154,233
12.4,-177,145
12.6,-153,57
12.8,-89,-28
13,-36,-87
13.2,43,-103
13.4,121,-99
13.6,173,-51
13.8,188,13
14,151,64
14.2,99,104
14.4,19,118
14.6,-75,91
14.8,-144,20
15,-176,-58
15.2,-192,-162
15.4,-156,-257
15.6,-91,-317
15.8,-21,-341
16,64,-326
16.2,131,-275
16.4,163,-191
16.6,154,-108
16.8,114,-28
17,42,42
17.2,-38,49
17.4,-121,44
17.6,-169,1
17.8,-191,-60
18,-164,-117
18.2,-114,-167
18.4,-45,-178
18.6,45,-160
18.8,111,-98
19,173,-12
19.2,186,79
19.4,164,180
19.6,109,258
19.8,40,302
20,-37,297
20.2,-107,272
20.4,-145,208
20.6,-144,130
20.8,-116,52
21,-63,2
21.2,17,-20
21.4,102,-9
21.6,162,33
21.8,194,93
22,185,164
22.2,140,211
22.4,65,239
22.6,-20,233
22.8,-85,190
23,-153,100
23.2,-175,10
23.4,-155,-90
23.6,-117,-182
23.8,-55,-238
24,16,-243
24.2,86,-240
24.4,138,-185
24.6,148,-121
24.8,130,-71
25,70,-5
25.2,-7,24
25.4,-85,10
25.6,-155,-38
25.8,-197,-99
26,-191,-177
26.2,-157,-242
26.4,-98,-278
26.6,-24,-287
26.8,59,-248
27,110,-191
27.2,154,-106
27.4,156,6
27.6,113,87
27.8,62,153
28,-5,186
28.2,-73,192
28.4,-126,156
28.6,-156,100
28.8,-141,46
29,-95,-16
29.2,-11,-34
29.4,67,-31
29.6,136,15
29.8,177,69
30,197,146
30.2,188,233
30.4,141,283
30.6,64,302
30.8,-17,287
31,-100,243
31.2,-135,166
31.4,-141,79
31.6,-116,2
31.8,-62,-73
32,12,-118
32.2,73,-118
32.4,122,-93
32.6,156,-52
32.8,147,-3
33,111,60
33.2,48,72
33.4,-32,59
33.6,-104,32
33.8,-154,-26
34,-190,-108
34.2,-184,-189
34.4,-139,-251
34.6,-81,-297
34.8,-14,-301
35,50,-263
35.2,98,-214
35.4,133,-137
35.6,105,-59
35.8,66,12
36,5,49
36.2,-61,52
36.4,-126,44
36.6,-171,3
36.8,-167,-50
37,-134,-94
37.2,-71,-119
37.4,-7,-113
37.6,65,-94
37.8,132,-29
38,165,41
38.2,176,123
38.4,146,209
38.6,94,252
38.8,30,277
39,-35,265
39.2,-79,223
39.4,-100,161
39.6,-90,98
39.8,-59,37
40,-14,-24
40.2,61,-27
40.4,117,-12
40.6,160,24
40.8,181,77
41,159,126
41.2,114,171
41.4,50,176
41.6,-30,154
41.8,-99,112
42,-141,44
42.2,-162,-43
42.4,-139,-122
42.6,-103,-193
42.8,-42,-229
43,13,-221
43.2,56,-206
43.4,94,-163
43.6,96,-110
43.8,73,-42
44,8,-14
44.2,-51,12
44.4,-109,8
44.6,-156,-41
44.8,-181,-97
45,-179,-154
45.2,-138,-197
45.4,-83,-218
45.6,-15,-205
45.8,51,-173
46,98,-109
46.2,128,-22
46.4,131,56
46.6,92,120
46.8,49,166
47,-14,178
47.2,-62,167
47.4,-92,134
47.6,-106,82
47.8,-84,39
48,-30,-3
48.2,29,-20
48.4,94,7
48.6,136,40
48.8,167,88
49,189,152
49.2,155,199
49.4,107,228
49.6,41,237
49.8,-10,207
50,-61,161
50.2,-92,100
