0,77.0762,-146.8
0.2,59.8896,59.8896
0.4,31.8313,35.8102
0.6,18.1543,-3.02572
0.8,28.8557,-31.8408
1,53.0743,-35.0491
1.2,87,-40
1.4,103,-32
1.6,116,5
1.8,117,26
2,98,73
2.2,72,105
2.4,19,112
2.6,-32,114
2.8,-82,88
3,-119,61
3.2,-131,22
3.4,-145,-17
3.6,-123,-52
3.8,-93,-67
4,-61,-72
4.2,-36,-55
4.4,-28,-19
4.6,-29,4
4.8,-51,34
5,-78,44
5.2,-97,55
5.4,-124,46
5.6,-148,11
5.8,-156,-23
6,-135,-60
6.2,-106,-89
6.4,-62,-113
6.6,-22,-105
6.8,19,-102
7,53,-75
7.2,81,-36
7.4,97,-9
7.6,73,29
7.8,57,52
8,40,52
8.2,20,30
8.4,15,17
8.6,20,-2
8.8,34,-37
9,56,-55
9.2,92,-55
9.4,126,-46
9.6,155,-28
9.8,161,9
10,156,51
10.2,145,84
10.4,109,96
10.6,59,109
10.8,17,102
11,-7,75
11.2,-40,42
11.4,-50,15
11.6,-38,-11
11.8,-24,-27
12,-9,-34
12.2,0,-29
12.4,14,-5
12.6,18,23
12.8,-5,39
13,-38,57
13.2,-81,74
13.4,-111,64
13.6,-135,41
13.8,-162,11
14,-170,-20
14.2,-158,-50
14.4,-133,-70
14.6,-93,-90
14.8,-63,-98
15,-34,-73
15.2,0,-50
15.4,5,-27
15.6,-2,7
15.8,-6,27
16,-24,24
16.2,-42,20
16.4,-48,7
16.6,-52,-31
16.8,-37,-59
17,-16,-69
17.2,39,-73
17.4,80,-77
17.6,110,-71
17.8,146,-37
18,151,4
18.2,140,33
18.4,135,64
18.6,107,76
18.8,77,82
19,60,63
19.2,46,50
19.4,36,25
19.6,30,-1
19.8,41,-11
20,63,-25
20.2,79,-15
20.4,81,8
20.6,81,27
20.8,72,53
21,37,77
21.2,10,85
21.4,-31,91
21.6,-58,79
21.8,-91,57
22,-128,18
22.2,-124,-6
22.4,-119,-32
22.6,-102,-54
22.8,-79,-62
23,-52,-53
23.2,-45,-32
23.4,-50,-10
23.6,-48,6
23.8,-63,15
24,-80,20
24.2,-99,20
24.4,-118,0
24.6,-111,-11
24.8,-103,-48
25,-86,-64
25.2,-59,-76
25.4,-26,-97
25.6,14,-83
25.8,48,-53
26,65,-43
26.2,82,-11
26.4,82,20
26.6,76,29
26.8,63,38
27,44,38
27.2,40,20
27.4,40,10
27.6,45,1
27.8,63,-22
28,78,-24
28.2,105,-17
28.4,130,-9
28.6,134,10
28.8,132,47
29,118,62
29.2,98,79
29.4,68,103
29.6,30,91
29.8,2,69
30,-36,45
30.2,-34,14
30.4,-51,0
30.6,-48,-16
30.8,-25,-33
31,-22,-24
31.2,-18,-6
31.4,-16,12
31.6,-26,19
31.8,-39,33
32,-70,49
32.2,-98,40
32.4,-123,23
32.6,-147,1
32.8,-145,-28
33,-130,-49
33.2,-121,-65
33.4,-87,-76
33.6,-61,-81
33.8,-41,-81
34,-17,-56
34.2,1,-29
34.4,10,-9
34.6,4,17
34.8,-16,9
35,-20,7
35.2,-25,4
35.4,-21,-10
35.6,-2,-21
35.8,9,-47
36,35,-57
36.2,68,-42
36.4,92,-37
36.6,123,-22
36.8,132,3
37,134,28
37.2,122,54
37.4,102,65
37.6,87,72
37.8,69,75
38,45,52
38.2,32,34
38.4,32,19
38.6,36,1
38.8,31,-7
39,44,-3
39.2,59,0
39.4,52,22
39.6,40,46
39.8,29,51
40,-2,66
40.2,-36,72
40.4,-58,55
40.6,-90,31
40.8,-105,15
41,-111,6
41.2,-114,-23
41.4,-107,-45
41.6,-83,-58
41.8,-65,-58
42,-55,-35
42.2,-57,-31
42.4,-53,-12
42.6,-46,-1
42.8,-67,7
43,-76,3
43.2,-80,-4
43.4,-85,-16
43.6,-85,-36
43.8,-75,-55
44,-36,-72
44.2,-8,-76
44.4,8,-64
44.6,44,-54
44.8,55,-40
45,70,-12
45.2,93,12
45.4,76,32
45.6,73,44
45.8,74,43
46,48,36
46.2,47,28
46.4,58,10
46.6,65,-3
46.8,73,-13
47,89,-10
47.2,91,-2
47.4,97,14
47.6,113,42
47.8,99,51
48,84,62
48.2,61,73
48.4,23,66
48.6,-2,61
48.8,-19,50
49,-35,26
49.2,-49,11
49.4,-45,-6
49.6,-40,-10
49.8,-35,-20
50,-30,-28
50.2,-35,-14
50.4,-43,5
50.6,-43,14
50.8,-71,19
51,-92,28
51.2,-103,25
51.4,-122,1
51.6,-116,-32
51.8,-114,-37
52,-101,-59
52.2,-81,-71
52.4,-61,-66
