0,112.386,71.112
0.2,29.4539,138.433
0.4,-35.8102,144.236
0.6,-82.703,127.08
0.8,-101.493,101.493
1,-112.157,50.0701
1.2,-104,16
1.4,-67,-16
1.6,-8,-24
1.8,43,-5
2,88,27
2.2,110,81
2.4,96,126
2.6,81,173
2.8,36,206
3,-43,200
3.2,-89,172
3.4,-111,125
3.6,-123,59
3.8,-119,-4
4,-85,-56
4.2,-27,-101
4.4,18,-113
4.6,73,-102
4.8,105,-77
5,113,-22
5.2,107,12
5.4,67,36
5.6,7,46
5.8,-41,34
6,-77,4
6.2,-104,-55
6.4,-114,-119
6.6,-85,-171
6.8,-46,-210
7,10,-221
7.2,67,-201
7.4,109,-160
7.6,119,-108
7.8,111,-40
8,81,16
8.2,33,55
8.4,-15,76
8.6,-49,62
8.8,-97,28
9,-111,1
9.2,-103,-30
9.4,-70,-57
9.6,-9,-73
9.8,29,-67
10,72,-19
10.2,102,35
10.4,107,85
10.6,92,138
10.8,48,198
11,1,217
11.2,-44,205
11.4,-87,175
11.6,-123,130
11.8,-118,77
12,-93,25
12.2,-51,-15
12.4,8,-30
12.6,63,-28
12.8,96,12
13,109,46
13.2,111,78
13.4,76,93
13.6,28,117
13.8,-22,114
14,-67,72
14.2,-103,24
14.4,-123,-37
14.6,-106,-101
14.8,-62,-158
15,-10,-181
15.2,32,-194
15.4,80,-167
15.6,107,-136
15.8,106,-89
16,90,-35
16.2,61,-10
16.4,18,22
16.6,-39,15
16.8,-80,-23
17,-113,-62
17.2,-107,-98
17.4,-83,-133
17.6,-41,-143
17.8,1,-134
18,57,-118
18.2,89,-76
18.4,104,-9
18.6,99,49
18.8,71,100
19,30,140
19.2,-14,149
19.4,-61,145
19.6,-100,132
19.8,-116,83
20,-101,37
20.2,-60,14
20.4,-21,-6
20.6,42,-8
20.8,79,26
21,97,70
21.2,109,108
21.4,81,136
21.6,45,161
21.8,5,189
22,-48,168
22.2,-83,107
22.4,-104,65
22.6,-101,15
22.8,-79,-47
23,-40,-84
23.2,12,-114
23.4,62,-110
23.6,90,-83
23.8,91,-60
24,99,-25
24.2,78,7
24.4,26,19
24.6,-18,11
24.8,-66,-14
25,-84,-56
25.2,-104,-109
25.4,-98,-145
25.6,-61,-178
25.8,-9,-199
26,32,-185
26.2,66,-150
26.4,96,-111
26.6,98,-43
26.8,88,12
27,54,54
27.2,-2,66
27.4,-39,68
27.6,-70,53
27.8,-90,17
28,-101,1
28.2,-80,-25
28.4,-36,-52
28.6,8,-41
