0,116.287,72.1748
0.2,77.562,100.143
0.4,16.9104,107.431
0.6,-36.3086,86.7373
0.8,-69.6517,36.8159
1,-76.1066,-15.021
1.2,-57,-66
1.4,-7,-100
1.6,41,-100
1.8,82,-84
2,120,-39
2.2,133,17
2.4,115,70
2.6,88,126
2.8,26,155
3,-43,153
3.2,-99,137
3.4,-148,96
3.6,-172,31
3.8,-157,-26
4,-117,-72
4.2,-71,-108
4.4,-17,-106
4.6,31,-77
4.8,74,-41
5,82,19
5.2,55,70
5.4,18,110
5.6,-37,128
5.8,-96,118
6,-133,74
6.2,-150,13
6.4,-150,-46
6.6,-122,-104
6.8,-62,-151
7,-4,-156
7.2,54,-140
7.4,96,-108
7.6,137,-55
7.8,136,-2
8,110,51
8.2,81,85
8.4,31,96
8.6,-32,81
8.8,-63,29
9,-80,-18
9.2,-70,-59
9.4,-25,-105
9.6,23,-127
9.8,77,-120
10,134,-93
10.2,154,-43
10.4,156,19
10.6,152,79
10.8,97,126
11,39,145
11.2,-21,141
11.4,-83,123
11.6,-114,66
11.8,-128,5
12,-112,-38
12.2,-71,-67
12.4,-22,-83
12.6,27,-69
12.8,68,-44
13,76,8
13.2,83,72
13.4,45,110
13.6,-11,141
13.8,-56,146
14,-118,123
14.2,-152,74
14.4,-154,26
14.6,-151,-39
14.8,-128,-103
15,-71,-122
15.2,-8,-135
15.4,52,-119
15.6,92,-70
15.8,95,-22
16,86,31
16.2,66,77
16.4,22,94
16.6,-42,81
16.8,-72,49
17,-97,4
17.2,-97,-55
17.4,-69,-106
17.6,-16,-133
17.8,44,-146
18,97,-141
18.2,134,-95
18.4,164,-39
18.6,156,8
18.8,137,67
19,100,105
19.2,37,131
19.4,-27,112
19.6,-63,77
19.8,-82,34
20,-75,-28
20.2,-50,-72
20.4,-9,-79
20.6,47,-87
20.8,76,-55
21,100,-6
21.2,121,43
21.4,96,90
21.6,49,133
21.8,-9,160
22,-63,146
22.2,-113,113
22.4,-153,70
22.6,-151,20
22.8,-134,-41
23,-110,-82
23.2,-53,-96
23.4,-1,-92
23.6,39,-79
23.8,69,-27
24,57,34
24.2,49,70
24.4,12,99
24.6,-45,110
24.8,-90,85
25,-122,42
25.2,-128,-10
25.4,-118,-65
25.6,-83,-108
25.8,-34,-135
26,26,-146
26.2,77,-131
26.4,113,-94
26.6,130,-46
26.8,134,10
27,101,57
27.2,57,76
27.4,11,74
27.6,-35,61
27.8,-65,22
28,-64,-26
28.2,-49,-78
28.4,-10,-103
28.6,35,-113
28.8,78,-101
29,113,-68
29.2,135,-21
