0,-8.4711,-14.0063
0.2,-13.7452,74.6166
0.4,-88.5308,121.357
0.6,-165.406,130.106
0.8,-205.97,101.493
1,-214.3,46.0645
1.2,-221,-11
1.4,-190,-67
1.6,-117,-109
1.8,-34,-115
2,49,-97
2.2,121,-57
2.4,162,6
2.6,178,83
2.8,157,148
3,110,191
3.2,69,198
3.4,14,176
3.6,-18,116
3.8,-33,56
4,-16,-8
4.2,20,-79
4.4,81,-122
4.6,154,-123
4.8,215,-98
5,265,-53
5.2,271,16
5.4,241,70
5.6,180,120
5.8,111,139
6,21,122
6.2,-46,80
6.4,-104,18
6.6,-131,-46
6.8,-114,-127
7,-87,-173
7.2,-40,-190
7.4,14,-177
7.6,50,-141
7.8,64,-83
8,55,-13
8.2,4,54
8.4,-54,87
8.6,-128,93
8.8,-197,95
9,-244,58
9.2,-278,-12
9.4,-261,-63
9.6,-221,-120
9.8,-163,-147
10,-82,-147
10.2,-14,-118
10.4,46,-57
10.6,86,10
10.8,90,93
11,52,145
11.2,4,168
11.4,-43,169
11.6,-79,139
11.8,-103,92
12,-102,26
12.2,-62,-32
12.4,1,-89
12.6,74,-97
12.8,155,-86
13,226,-49
13.2,264,1
13.4,259,58
13.6,237,119
13.8,194,153
14,124,152
14.2,56,132
14.4,-5,83
14.6,-42,7
14.8,-45,-54
15,-26,-118
15.2,32,-156
15.4,82,-160
15.6,124,-144
15.8,147,-101
16,146,-27
16.2,120,15
16.4,63,68
16.6,-12,94
16.8,-105,90
17,-166,68
17.2,-215,3
17.4,-243,-51
17.6,-225,-111
17.8,-183,-149
18,-136,-168
18.2,-67,-161
18.4,-16,-112
18.6,26,-59
18.8,20,7
19,-12,83
19.2,-47,131
19.4,-101,150
19.6,-151,138
19.8,-175,102
20,-192,42
20.2,-171,-12
20.4,-129,-67
20.6,-54,-104
20.8,22,-101
21,108,-86
21.2,174,-33
21.4,209,29
21.6,210,88
21.8,180,145
22,135,166
22.2,71,167
22.4,21,135
22.6,1,83
22.8,-10,15
23,12,-56
23.2,51,-109
23.4,105,-140
23.6,170,-131
23.8,209,-103
24,229,-53
24.2,226,9
24.4,187,52
24.6,121,88
24.8,57,103
25,-33,98
25.2,-100,50
25.4,-138,-11
25.6,-155,-72
25.8,-141,-139
26,-101,-165
26.2,-61,-170
26.4,-16,-156
26.6,22,-107
26.8,31,-38
27,5,33
27.2,-31,84
27.4,-88,114
27.6,-157,116
27.8,-212,94
28,-240,48
28.2,-256,-6
28.4,-233,-60
28.6,-172,-103
28.8,-108,-118
29,-39,-106
29.2,30,-70
29.4,78,-13
29.6,99,55
29.8,95,102
30,66,141
30.2,31,172
30.4,-5,163
30.6,-38,111
30.8,-58,63
31,-47,0
31.2,-3,-54
31.4,56,-96
31.6,123,-116
31.8,185,-88
32,235,-47
32.2,247,-3
32.4,239,50
32.6,205,97
32.8,150,117
33,76,110
33.2,19,85
33.4,-18,30
33.6,-41,-14
33.8,-38,-77
34,-19,-129
34.2,6,-165
34.4,62,-171
34.6,96,-130
34.8,92,-86
35,82,-34
35.2,62,31
35.4,0,73
35.6,-73,95
35.8,-143,93
36,-199,62
36.2,-241,0
36.4,-242,-62
36.6,-215,-93
36.8,-166,-119
37,-108,-130
37.2,-54,-117
37.4,-6,-64
37.6,16,-9
37.8,15,56
38,10,104
38.2,-28,139
38.4,-94,146
38.6,-129,116
38.8,-143,80
39,-146,27
39.2,-114,-17
39.4,-55,-63
39.6,10,-97
39.8,70,-78
40,144,-57
40.2,199,-18
40.4,209,43
40.6,199,83
40.8,170,107
41,114,138
41.2,73,126
41.4,35,77
41.6,3,28
41.8,8,-24
42,26,-77
42.2,62,-113
42.4,114,-137
42.6,143,-123
42.8,163,-89
43,178,-44
43.2,170,16
43.4,116,57
43.6,49,83
43.8,-18,78
44,-75,62
44.2,-124,26
44.4,-162,-32
44.6,-155,-75
44.8,-136,-111
45,-106,-144
45.2,-63,-131
45.4,-26,-100
45.6,-3,-56
45.8,-6,1
46,-32,53
46.2,-61,100
46.4,-107,121
46.6,-156,118
46.8,-192,83
47,-206,43
47.2,-205,2
47.4,-169,-40
47.6,-115,-64
47.8,-48,-71
48,4,-67
48.2,70,-25
48.4,103,12
48.6,99,65
48.8,110,108
49,84,130
49.2,43,135
49.4,11,105
49.6,-13,68
49.8,-16,17
50,5,-29
50.2,50,-59
50.4,94,-96
50.6,143,-99
50.8,177,-88
51,207,-57
51.2,207,-6
51.4,194,36
51.6,156,65
51.8,95,75
52,45,61
52.2,-2,36
52.4,-38,0
52.6,-58,-52
52.8,-62,-106
53,-35,-125
53.2,-12,-128
53.4,20,-117
53.6,48,-89
53.8,39,-47
54,26,5
54.2,-2,40
54.4,-49,63
54.6,-104,80
54.8,-152,70
55,-189,47
55.2,-207,10
55.4,-201,-37
55.6,-168,-56
55.8,-127,-75
56,-85,-83
56.2,-51,-46
56.4,-4,-10
56.6,17,32
56.8,13,66
57,8,99
57.2,-28,121
57.4,-59,113
57.6,-81,88
57.8,-84,59
58,-76,15
58.2,-46,-20
58.4,6,-54
58.6,63,-72
58.8,113,-62
59,148,-46
59.2,186,-8
59.4,190,24
59.6,167,56
59.8,137,79
60,100,75
60.2,66,53
60.4,35,19
60.6,22,-6
60.8,24,-52
61,40,-92
61.2,55,-106
61.4,74,-104
61.6,109,-91
61.8,112,-64
62,109,-31
62.2,81,11
62.4,46,46
62.6,-9,55
62.8,-62,55
63,-104,37
63.2,-139,6
63.4,-152,-24
63.6,-150,-49
63.8,-129,-72
64,-99,-90
64.2,-73,-80
64.4,-49,-41
64.6,-30,-3
64.8,-29,39
65,-44,78
65.2,-68,88
65.4,-105,107
65.6,-118,89
65.8,-143,61
66,-157,38
66.2,-128,1
66.4,-100,-30
66.6,-61,-38
66.8,-5,-47
67,41,-42
67.2,88,-2
67.4,102,23
67.6,102,52
67.8,97,77
68,76,88
68.2,51,84
68.4,35,56
68.6,34,23
68.8,31,-10
69,39,-43
69.2,68,-70
69.4,104,-88
69.6,132,-91
69.8,148,-60
70,171,-45
70.2,161,-16
70.4,125,14
70.6,91,24
70.8,50,30
71,5,19
71.2,-28,10
71.4,-40,-24
71.6,-49,-58
71.8,-54,-73
72,-41,-84
72.2,-16,-88
72.4,-11,-71
72.6,-6,-48
72.8,-2,-11
73,-24,27
73.2,-50,58
73.4,-74,68
73.6,-119,65
73.8,-142,67
74,-152,46
74.2,-158,17
74.4,-139,-6
74.6,-108,-33
74.8,-85,-34
75,-52,-30
75.2,-22,-7
75.4,6,14
75.6,13,47
75.8,15,67
76,15,83
76.2,-2,98
76.4,-25,73
76.6,-28,51
76.8,-20,28
77,-12,-11
77.2,17,-37
77.4,59,-53
77.6,91,-60
77.8,121,-48
78,139,-36
78.2,155,-29
78.4,153,2
78.6,127,19
78.8,108,27
79,81,25
79.2,53,9
79.4,35,-13
79.6,23,-44
79.8,18,-69
80,28,-79
80.2,44,-90
80.4,49,-82
80.6,55,-71
80.8,44,-38
81,30,-14
81.2,32,7
81.4,-10,24
81.6,-61,41
81.8,-85,39
82,-104,19
82.2,-129,14
82.4,-128,-1
82.6,-112,-24
82.8,-111,-27
83,-86,-24
83.2,-65,-21
83.4,-55,5
83.6,-34,20
83.8,-35,48
84,-45,75
84.2,-64,81
84.4,-69,81
84.6,-85,80
84.8,-87,59
85,-74,30
85.2,-61,16
85.4,-36,-15
85.6,5,-26
85.8,27,-24
86,67,-19
86.2,85,3
86.4,92,2
86.6,100,16
86.8,90,32
87,72,38
87.2,69,24
87.4,56,9
87.6,44,-15
87.8,51,-36
88,64,-49
88.2,66,-64
88.4,85,-78
88.6,92,-79
88.8,95,-64
89,99,-32
