0,271.299,-84.3691
0.2,294.539,-20.6177
0.4,274.545,80.573
0.6,190.62,167.423
0.8,81.592,214.925
1,-26.0365,201.282
1.2,-127,152
1.4,-201,60
1.6,-219,-61
1.8,-192,-171
2,-118,-251
2.2,-18,-293
2.4,87,-275
2.6,176,-205
2.8,226,-94
3,221,2
3.2,180,102
3.4,79,180
3.6,-26,207
3.8,-130,188
4,-220,117
4.2,-251,13
4.4,-252,-83
4.6,-200,-173
4.8,-113,-220
5,7,-224
5.2,99,-179
5.4,178,-108
5.6,220,3
5.8,195,122
6,138,210
6.2,50,260
6.4,-57,260
6.6,-151,220
6.8,-208,152
7,-227,40
7.2,-199,-70
7.4,-130,-145
7.6,-18,-188
7.8,96,-173
8,185,-112
8.2,238,-33
8.4,250,66
8.6,204,162
8.8,134,230
9,35,249
9.2,-73,215
9.4,-155,142
9.6,-200,29
9.8,-197,-80
10,-141,-159
10.2,-61,-222
10.4,38,-256
10.6,136,-222
10.8,212,-155
11,234,-60
11.2,215,55
11.4,148,132
11.6,56,169
11.8,-50,166
12,-153,120
12.2,-218,55
12.4,-233,-52
12.6,-208,-151
12.8,-142,-220
13,-48,-251
13.2,53,-233
13.4,136,-181
13.6,196,-87
13.8,204,21
14,159,134
14.2,86,207
14.4,-22,231
14.6,-99,202
14.8,-182,142
15,-227,74
15.2,-217,-16
15.4,-182,-112
15.6,-87,-161
15.8,14,-162
16,118,-136
16.2,195,-69
16.4,211,31
16.6,210,127
16.8,162,203
17,76,256
17.2,-32,256
17.4,-120,211
17.6,-186,133
17.8,-209,25
18,-169,-86
18.2,-110,-165
18.4,-21,-199
18.6,77,-193
18.8,165,-162
19,218,-84
19.2,219,19
19.4,184,110
19.6,113,161
19.8,23,178
20,-74,158
20.2,-162,99
20.4,-200,2
20.6,-197,-95
20.8,-158,-174
21,-88,-233
21.2,9,-253
21.4,93,-229
21.6,168,-148
21.8,200,-61
22,184,32
22.2,130,124
22.4,39,172
22.6,-53,179
22.8,-139,152
23,-190,86
23.2,-222,2
23.4,-200,-84
23.6,-139,-145
23.8,-56,-184
24,46,-182
24.2,127,-129
24.4,175,-51
24.6,200,44
24.8,173,137
25,100,212
25.2,24,239
25.4,-61,229
25.6,-146,182
25.8,-183,85
26,-178,0
26.2,-144,-77
26.4,-79,-134
26.6,18,-156
26.8,124,-143
27,187,-82
27.2,204,-2
27.4,207,81
27.6,166,152
27.8,71,186
28,-17,191
28.2,-91,157
28.4,-159,86
28.6,-186,-10
28.8,-166,-110
29,-116,-176
29.2,-31,-215
29.4,50,-223
29.6,126,-182
29.8,177,-116
30,187,-31
30.2,163,60
30.4,88,116
30.6,16,144
30.8,-80,143
31,-155,87
31.2,-191,11
31.4,-200,-74
31.6,-166,-145
31.8,-98,-198
32,-16,-208
32.2,59,-182
32.4,145,-118
32.6,172,-38
32.8,158,55
33,129,143
33.2,59,189
33.4,-18,203
33.6,-103,172
33.8,-165,122
34,-173,42
34.2,-158,-35
34.4,-105,-90
34.6,-38,-130
34.8,47,-135
35,121,-101
35.2,178,-25
35.4,190,53
35.6,152,136
35.8,107,190
36,36,207
36.2,-45,196
36.4,-106,149
36.6,-155,65
36.8,-158,-25
37,-122,-97
37.2,-74,-154
37.4,9,-166
37.6,84,-164
37.8,138,-116
38,175,-52
38.2,171,22
38.4,125,82
38.6,55,127
38.8,-24,145
39,-101,98
39.2,-146,38
39.4,-171,-23
39.6,-168,-97
39.8,-118,-163
40,-65,-205
40.2,18,-212
40.4,94,-173
40.6,131,-108
40.8,151,-22
41,122,57
41.2,83,123
41.4,12,146
41.6,-66,148
41.8,-126,111
42,-164,51
42.2,-176,-13
42.4,-154,-75
42.6,-83,-121
42.8,-7,-133
43,68,-117
43.2,136,-72
43.4,169,8
43.6,171,82
43.8,136,140
44,73,194
44.2,6,210
44.4,-70,183
44.6,-118,132
44.8,-136,66
45,-134,-10
45.2,-92,-80
45.4,-33,-114
45.6,41,-131
45.8,107,-102
46,158,-47
46.2,179,17
46.4,148,72
46.6,98,124
46.8,31,156
47,-41,135
47.2,-99,96
47.4,-138,39
47.6,-147,-47
47.8,-138,-112
48,-85,-153
48.2,-16,-197
48.4,41,-187
48.6,106,-128
48.8,132,-78
49,128,-1
49.2,101,54
49.4,42,93
49.6,-23,117
49.8,-88,99
50,-131,53
50.2,-150,-11
50.4,-145,-67
50.6,-111,-120
50.8,-51,-144
51,15,-146
51.2,76,-122
51.4,122,-59
51.6,135,4
51.8,114,80
52,92,141
52.2,19,162
52.4,-37,164
52.6,-75,136
52.8,-125,82
53,-130,20
53.2,-92,-37
53.4,-60,-77
53.6,6,-89
53.8,70,-80
54,121,-49
54.2,155,5
54.4,150,63
54.6,129,110
54.8,79,140
55,19,156
55.2,-45,135
55.4,-85,83
55.6,-112,24
55.8,-123,-40
56,-86,-96
56.2,-26,-134
56.4,12,-138
56.6,65,-121
56.8,102,-79
57,108,-36
57.2,110,15
57.4,80,66
57.6,13,87
57.8,-52,85
58,-92,46
58.2,-132,6
58.4,-139,-47
58.6,-122,-102
58.8,-87,-138
59,-37,-150
59.2,34,-142
59.4,77,-109
59.6,102,-58
59.8,108,2
60,90,66
60.2,48,97
60.4,-21,120
60.6,-73,119
60.8,-106,72
61,-117,32
61.2,-112,-20
61.4,-78,-59
61.6,-17,-89
61.8,24,-88
62,76,-56
