0,559.739,-127.926
0.2,480.099,54.9807
0.4,381.976,153.188
0.6,289.46,241.049
0.8,155.224,244.776
1,19.0266,194.272
1.2,-74,118
1.4,-130,-1
1.6,-133,-122
1.8,-96,-207
2,-11,-265
2.2,71,-265
2.4,142,-211
2.6,186,-104
2.8,174,-1
3,121,114
3.2,22,219
3.4,-122,256
3.6,-254,239
3.8,-369,180
4,-443,90
4.2,-458,-28
4.4,-418,-129
4.6,-340,-197
4.8,-217,-234
5,-93,-196
5.2,5,-119
5.4,66,-28
5.6,77,92
5.8,45,188
6,-30,237
6.2,-117,259
6.4,-196,227
6.6,-247,139
6.8,-260,30
7,-210,-80
7.2,-114,-171
7.4,13,-233
7.6,148,-240
7.8,270,-195
8,367,-109
8.2,406,-10
8.4,401,91
8.6,343,177
8.8,237,213
9,142,202
9.2,50,145
9.4,-12,49
9.6,-25,-66
9.8,-3,-155
10,71,-239
10.2,162,-267
10.4,253,-253
10.6,317,-183
10.8,335,-78
11,318,35
11.2,237,138
11.4,115,193
11.6,-27,219
11.8,-146,196
12,-251,119
12.2,-321,21
12.4,-340,-78
12.6,-296,-155
12.8,-220,-202
13,-133,-215
13.2,-39,-156
13.4,18,-68
13.6,34,26
13.8,-3,149
14,-68,233
14.2,-157,278
14.4,-259,271
14.6,-341,199
14.8,-375,117
15,-368,13
15.2,-319,-93
15.4,-214,-167
15.6,-95,-203
15.8,33,-180
16,151,-129
16.2,226,-48
16.4,262,50
16.6,238,144
16.8,159,204
17,88,213
17.2,14,178
17.4,-49,101
17.6,-64,-1
17.8,-37,-112
18,35,-205
18.2,129,-258
18.4,234,-270
18.6,335,-231
18.8,404,-153
19,426,-50
19.2,391,43
19.4,307,123
19.6,199,178
19.8,72,170
20,-46,122
20.2,-117,53
20.4,-159,-42
20.6,-163,-134
20.8,-112,-200
21,-31,-240
21.2,42,-212
21.4,90,-142
21.6,100,-35
21.8,92,67
22,41,147
22.2,-70,238
22.4,-174,253
22.6,-276,229
22.8,-366,174
23,-400,79
23.2,-401,-4
23.4,-345,-80
23.6,-254,-139
23.8,-137,-156
24,-39,-117
24.2,30,-55
24.4,81,39
24.6,78,132
24.8,40,191
25,-17,233
25.2,-79,240
25.4,-144,179
25.6,-174,95
25.8,-158,-6
26,-108,-110
26.2,-26,-189
26.4,88,-233
26.6,205,-216
26.8,288,-179
27,358,-110
27.2,380,-15
27.4,351,63
27.6,270,121
27.8,191,144
28,104,122
28.2,16,48
28.4,-22,-23
28.6,-39,-109
28.8,-7,-194
29,66,-236
29.2,131,-249
29.4,189,-205
29.6,234,-135
29.8,248,-49
30,199,51
30.2,120,132
30.4,17,188
30.6,-99,205
30.8,-204,171
31,-279,96
31.2,-308,19
31.4,-300,-60
31.6,-253,-115
31.8,-185,-145
32,-100,-128
32.2,-35,-68
32.4,7,-1
32.6,14,102
32.8,-14,178
33,-79,223
33.2,-158,247
33.4,-224,227
33.6,-270,175
33.8,-284,86
34,-271,-1
34.2,-197,-85
34.4,-105,-144
34.6,-6,-177
34.8,99,-151
35,187,-87
35.2,232,-17
35.4,242,48
35.6,213,115
35.8,161,136
36,104,123
36.2,40,96
36.4,-4,28
36.6,-9,-60
36.8,2,-152
37,63,-220
37.2,154,-244
37.4,226,-237
37.6,289,-187
37.8,319,-122
38,311,-47
38.2,262,29
38.4,195,96
38.6,101,126
38.8,2,117
39,-86,73
39.2,-135,8
39.4,-161,-52
39.6,-136,-113
39.8,-98,-151
40,-49,-150
40.2,4,-128
40.4,34,-55
40.6,49,23
40.8,28,103
41,-30,182
41.2,-101,217
41.4,-181,232
41.6,-264,203
41.8,-308,145
42,-319,76
42.2,-307,3
42.4,-248,-54
42.6,-163,-83
42.8,-77,-90
43,10,-56
43.2,62,0
43.4,92,56
43.6,93,122
43.8,60,156
44,10,166
44.2,-34,152
44.4,-76,104
44.6,-88,28
44.8,-81,-58
45,-27,-131
45.2,49,-179
45.4,130,-207
45.6,218,-199
45.8,276,-149
46,304,-90
46.2,304,-27
46.4,258,31
46.6,201,55
46.8,139,65
47,52,44
47.2,6,-11
47.4,-24,-69
47.6,-32,-118
47.8,-4,-170
48,42,-201
48.2,96,-183
48.4,130,-146
48.6,145,-70
48.8,142,6
49,91,73
49.2,21,134
49.4,-49,168
49.6,-134,171
49.8,-205,136
50,-251,94
50.2,-261,36
50.4,-247,-12
50.6,-207,-56
50.8,-145,-64
51,-79,-39
51.2,-23,6
51.4,-6,58
51.6,-19,120
51.8,-29,172
52,-63,200
52.2,-117,206
52.4,-163,183
52.6,-179,117
52.8,-183,50
53,-146,-25
53.2,-95,-69
53.4,-28,-115
53.6,58,-136
53.8,128,-119
54,179,-83
54.2,205,-33
54.4,201,20
54.6,181,57
54.8,146,54
55,85,41
55.2,40,13
55.4,23,-47
55.6,19,-115
55.8,33,-158
56,78,-197
56.2,128,-214
56.4,180,-188
56.6,209,-151
56.8,217,-92
57,205,-33
57.2,170,21
57.4,100,56
57.6,28,75
57.8,-51,77
58,-105,43
58.2,-145,-3
58.4,-154,-34
58.6,-138,-67
58.8,-105,-87
59,-51,-69
59.2,-19,-34
59.4,-8,15
59.6,5,71
59.8,-22,130
60,-63,168
60.2,-112,204
60.4,-171,209
60.6,-210,176
60.8,-235,131
61,-227,64
61.2,-199,11
61.4,-153,-35
61.6,-88,-47
61.8,-12,-41
62,34,-23
62.2,71,9
62.4,91,52
62.6,86,69
62.8,51,99
63,17,107
63.2,-12,77
63.4,-26,20
63.6,-22,-47
63.8,-12,-98
64,22,-144
64.2,74,-172
64.4,133,-178
64.6,182,-175
64.8,221,-140
65,226,-85
65.2,219,-43
65.4,178,-12
65.6,134,20
65.8,84,9
66,25,-16
66.2,-16,-37
66.4,-33,-77
66.6,-28,-105
66.8,-8,-131
67,17,-132
67.2,43,-102
67.4,69,-76
67.6,62,-21
67.8,54,41
68,14,78
68.2,-37,118
68.4,-84,144
68.6,-131,143
68.8,-177,133
69,-196,94
69.2,-203,55
69.4,-181,29
69.6,-135,5
69.8,-104,1
70,-54,28
70.2,-22,48
70.4,-20,79
70.6,-12,113
70.8,-17,140
71,-50,143
71.2,-77,135
71.4,-87,92
71.6,-94,45
71.8,-93,4
72,-60,-37
72.2,-21,-71
72.4,22,-102
72.6,81,-106
72.8,130,-98
73,153,-78
73.2,170,-49
73.4,159,-29
73.6,131,-12
73.8,108,-20
74,71,-42
74.2,44,-41
74.4,28,-85
74.6,29,-121
74.8,43,-141
75,62,-157
75.2,93,-159
75.4,128,-152
75.6,122,-109
75.8,116,-61
76,109,-11
76.2,73,20
76.4,23,48
76.6,-24,62
76.8,-59,64
77,-92,44
77.2,-123,18
77.4,-127,2
77.6,-114,-13
77.8,-91,-10
78,-60,12
78.2,-34,32
78.4,-30,61
78.6,-31,111
78.8,-45,131
79,-68,165
79.2,-90,175
79.4,-119,162
79.6,-141,144
79.8,-137,94
80,-134,59
80.2,-113,24
80.4,-70,-4
80.6,-32,-18
80.8,7,-16
81,42,-6
81.2,57,10
81.4,72,25
81.6,80,39
81.8,49,40
82,38,30
82.2,32,-4
82.4,18,-31
82.6,21,-67
82.8,35,-108
83,62,-140
83.2,87,-159
83.4,113,-154
83.6,137,-146
83.8,142,-120
84,142,-92
84.2,125,-75
84.4,99,-33
84.6,68,-22
84.8,39,-26
85,6,-32
85.2,-18,-41
85.4,-34,-54
85.6,-39,-73
85.8,-19,-69
86,-11,-57
86.2,4,-43
86.4,12,-7
86.6,5,32
86.8,-6,76
87,-25,102
87.2,-56,121
87.4,-91,138
87.6,-107,125
87.8,-124,119
88,-139,98
88.2,-129,82
88.4,-115,66
88.6,-97,47
88.8,-61,48
89,-31,60
89.2,-14,79
89.4,-5,83
89.6,0,93
89.8,-11,98
90,-20,93
90.2,-30,73
90.4,-37,59
90.6,-32,19
90.8,-22,-18
91,-3,-52
91.2,26,-72
91.4,47,-90
91.6,82,-105
91.8,114,-100
92,124,-89
92.2,115,-85
92.4,103,-70
92.6,99,-63
92.8,86,-70
93,52,-68
93.2,33,-78
93.4,36,-95
93.6,37,-108
93.8,40,-116
94,39,-128
94.2,45,-114
94.4,62,-86
94.6,51,-60
94.8,49,-28
95,43,2
95.2,17,29
95.4,-14,40
95.6,-38,55
95.8,-63,65
96,-82,55
96.2,-92,54
96.4,-86,47
96.6,-79,44
96.8,-64,53
97,-54,53
97.2,-49,77
97.4,-36,101
97.6,-35,113
97.8,-42,119
98,-63,133
98.2,-66,130
98.4,-71,115
98.6,-77,98
98.8,-65,75
99,-63,45
99.2,-53,31
99.4,-31,18
99.6,-5,-6
99.8,22,-15
100,39,-17
100.2,53,-17
100.4,55,-17
100.6,58,-26
100.8,61,-33
101,43,-37
101.2,32,-54
101.4,30,-81
101.6,38,-98
101.8,49,-108
102,53,-121
102.2,55,-140
102.4,76,-132
102.6,88,-115
102.8,81,-104
103,73,-82
103.2,70,-73
