0,213.7,-130.355
0.2,-157,78
0.4,-50,-5
0.6,-71,8
0.8,-69,42
1,-26,-43
1.2,-114,-71
1.4,-40,36
1.6,35,-53
1.8,-83,-62
2,5,76
2.2,46,74
2.4,-52,-27
2.6,17,-90
2.8,92,-85
3,85,-111
3.2,105,-87
3.4,244,-135
3.6,178,-9
3.8,69,-52
4,100,-116
4.2,229,-48
4.4,146,-127
4.6,100,-147
4.8,159,10
5,176,-59
5.2,28,-6
5.4,39,14
5.6,69,14
5.8,50,82
6,89,1
6.2,8,16
6.4,-32,0
6.6,-61,8
6.8,-76,46
7,-81,77
7.2,-72,53
7.4,-29,39
7.6,-57,50
7.8,-113,-3
8,-142,77
8.2,-99,42
8.4,-74,81
8.6,-178,62
8.8,-90,78
9,-207,38
9.2,-157,58
9.4,-2,93
9.6,-132,0
9.8,-136,33
10,29,132
10.2,-24,31
10.4,-71,2
10.6,-45,26
10.8,-133,63
11,-83,-42
11.2,-84,76
11.4,-55,82
11.6,63,-109
11.8,20,62
12,0,62
12.2,-40,-125
12.4,14,-187
12.6,47,-127
12.8,89,-235
13,40,-178
13.2,17,-30
13.4,102,-51
13.6,122,-126
13.8,100,-189
14,174,-54
14.2,153,-79
14.4,105,-226
14.6,-1,-76
14.8,57,46
15,23,-114
15.2,25,-143
15.4,-29,14
15.6,74,54
15.8,30,13
16,-37,93
16.2,-70,60
16.4,-54,17
16.6,-17,114
16.8,16,116
17,19,127
17.2,-8,88
17.4,-62,152
17.6,-84,94
17.8,-1,233
18,-25,208
18.2,-116,126
18.4,-15,159
18.6,-88,123
18.8,-158,139
19,-76,99
19.2,-56,-17
19.4,-47,56
19.6,-26,29
19.8,-92,97
20,-93,135
20.2,-57,-7
20.4,-28,-131
20.6,-48,75
20.8,82,48
21,84,-35
21.2,-36,-27
21.4,-66,-115
21.6,-36,-54
21.8,-66,-61
22,20,-106
22.2,-27,-26
22.4,-76,-69
22.6,67,-126
22.8,40,-115
23,-104,-233
23.2,-100,-210
23.4,-10,-126
23.6,40,-49
23.8,-13,-109
24,87,-140
24.2,26,-50
24.4,-94,-96
24.6,-90,-131
24.8,67,32
25,53,-5
25.2,66,-12
25.4,121,75
25.6,27,104
25.8,24,169
26,89,117
26.2,108,77
26.4,167,15
26.6,100,87
26.8,-56,130
27,50,150
27.2,82,117
27.4,46,113
27.6,-26,149
27.8,50,141
28,106,131
28.2,42,30
28.4,7,76
28.6,30,144
28.8,-57,101
29,-23,41
29.2,-21,94
29.4,-172,33
29.6,-123,-63
29.8,-79,-84
30,-22,-51
30.2,-110,-57
30.4,11,52
30.6,110,1
30.8,19,20
31,63,-54
31.2,-49,-89
31.4,-112,-137
31.6,-77,-208
31.8,15,-62
32,-142,-152
32.2,-149,-172
32.4,-102,-111
32.6,-111,-184
32.8,-75,-126
33,-151,-25
33.2,-128,-58
33.4,-53,-18
33.6,3,-59
33.8,51,18
34,90,39
34.2,85,-58
34.4,110,-9
34.6,142,-7
34.8,113,-32
35,131,-20
35.2,31,0
35.4,52,67
35.6,75,79
35.8,33,189
36,41,131
36.2,173,151
36.4,116,113
36.6,69,35
36.8,98,31
37,-47,71
37.2,29,170
37.4,99,152
37.6,84,15
37.8,41,39
38,45,46
38.2,95,-16
38.4,-32,31
38.6,165,51
38.8,136,85
39,-23,32
39.2,-68,-8
39.4,-11,-91
39.6,-42,-43
39.8,-107,-86
40,2,-50
40.2,-6,-62
40.4,-96,-98
40.6,-146,1
40.8,-62,75
41,-97,-82
41.2,-99,-77
41.4,-162,27
41.6,-55,-83
41.8,-15,-129
42,-64,-19
42.2,-25,-108
42.4,-41,-92
42.6,-25,-86
42.8,-60,-54
43,-80,-51
43.2,-64,22
43.4,-9,-64
43.6,-7,-10
43.8,10,-32
44,55,23
44.2,149,58
44.4,167,67
44.6,184,23
44.8,144,49
45,89,57
45.2,136,40
45.4,172,49
45.6,110,80
45.8,154,56
46,209,18
46.2,123,66
46.4,137,109
46.6,93,89
46.8,75,-5
47,69,-29
47.2,79,71
47.4,91,-29
47.6,77,37
47.8,131,-18
48,142,-68
48.2,-44,-15
48.4,109,66
48.6,-38,1
48.8,1,-93
49,-40,-11
49.2,-159,6
49.4,-54,-8
49.6,-161,-67
49.8,-196,10
50,-123,-125
50.2,-108,-30
50.4,-163,116
50.6,-91,33
50.8,-40,48
51,-56,-45
51.2,-65,44
51.4,-138,58
51.6,-76,-98
51.8,-145,-9
52,-151,-13
52.2,-61,-40
