0,-191.264,-146.413
0.2,-113.889,-202.25
0.4,-7.95782,-232.766
0.6,104.892,-207.766
0.8,199.005,-139.303
1,243.341,-45.0631
1.2,249,68
1.4,226,163
1.6,140,229
1.8,43,266
2,-52,244
2.2,-146,195
2.4,-203,113
2.6,-228,-7
2.8,-208,-108
3,-131,-189
3.2,-40,-241
3.4,63,-245
3.6,152,-203
3.8,218,-137
4,247,-43
4.2,231,57
4.4,174,140
4.6,85,199
4.8,-23,221
5,-131,184
5.2,-202,115
5.4,-245,23
5.6,-252,-88
5.8,-204,-170
6,-129,-228
6.2,-31,-256
6.4,74,-228
6.6,152,-156
6.8,199,-67
7,218,33
7.2,181,133
7.4,109,213
7.6,18,245
7.8,-72,241
8,-158,184
8.2,-220,108
8.4,-235,13
8.6,-203,-80
8.8,-136,-149
9,-46,-203
9.2,52,-205
9.4,140,-172
9.6,216,-101
9.8,237,-9
10,226,81
10.2,186,161
10.4,97,205
10.6,-3,220
10.8,-99,198
11,-174,134
11.2,-216,46
11.4,-207,-64
11.6,-164,-157
11.8,-101,-209
12,-6,-232
12.2,74,-220
12.4,147,-172
12.6,209,-80
12.8,220,2
13,191,98
13.2,118,190
13.4,19,217
13.6,-76,208
13.8,-170,170
14,-229,92
14.2,-249,6
14.4,-218,-87
14.6,-170,-164
14.8,-97,-212
15,10,-207
15.2,105,-178
15.4,174,-104
15.6,205,-2
15.8,215,86
16,175,166
16.2,90,223
16.4,-8,232
16.6,-101,219
16.8,-162,161
17,-201,64
17.2,-208,-41
17.4,-160,-115
17.6,-91,-191
17.8,-2,-218
18,85,-208
18.2,165,-164
18.4,221,-81
18.6,234,5
18.8,204,98
19,135,168
19.2,53,195
19.4,-40,202
19.6,-123,162
19.8,-177,92
20,-204,-3
20.2,-190,-96
20.4,-138,-172
20.6,-69,-214
20.8,11,-225
21,87,-190
21.2,159,-117
21.4,190,-25
21.6,179,60
21.8,143,131
22,67,191
22.2,-13,217
22.4,-93,201
22.6,-171,152
22.8,-210,67
23,-214,-26
23.2,-174,-104
23.4,-101,-152
23.6,-18,-178
23.8,70,-177
24,145,-133
24.2,193,-54
24.4,207,30
24.6,187,101
24.8,126,160
25,50,198
25.2,-21,202
25.4,-103,159
25.6,-158,98
25.8,-178,15
26,-176,-78
26.2,-115,-149
26.4,-53,-196
26.6,31,-205
26.8,105,-196
27,159,-139
27.2,185,-44
27.4,171,28
27.6,136,98
27.8,70,151
28,-8,175
28.2,-88,156
28.4,-158,107
28.6,-198,43
28.8,-192,-31
29,-158,-93
29.2,-112,-152
29.4,-38,-189
29.6,41,-171
29.8,114,-127
30,155,-77
30.2,178,4
30.4,155,92
30.6,106,151
30.8,43,181
31,-24,190
31.2,-93,156
31.4,-144,98
31.6,-164,28
31.8,-154,-53
32,-112,-117
32.2,-40,-157
32.4,36,-167
32.6,110,-139
32.8,165,-91
33,197,-33
33.2,192,43
33.4,162,106
33.6,97,159
33.8,20,170
34,-59,149
34.2,-116,108
34.4,-157,37
34.6,-156,-47
34.8,-141,-111
35,-104,-165
35.2,-28,-186
35.4,47,-168
35.6,105,-130
35.8,146,-71
36,163,-1
36.2,139,68
36.4,90,127
36.6,23,169
36.8,-51,162
37,-117,136
37.2,-158,90
37.4,-180,21
37.6,-173,-44
37.8,-130,-103
38,-66,-137
38.2,-4,-147
38.4,65,-124
38.6,120,-82
38.8,156,-23
39,149,48
39.2,120,101
39.4,86,144
39.6,23,158
39.8,-47,146
40,-102,107
40.2,-138,49
40.4,-137,-13
40.6,-119,-77
40.8,-68,-142
41,-7,-174
41.2,56,-156
41.4,112,-126
41.6,149,-76
41.8,152,-28
42,145,32
42.2,101,93
42.4,43,127
42.6,-22,131
42.8,-84,106
43,-137,58
43.2,-152,4
43.4,-140,-49
43.6,-114,-105
43.8,-72,-139
44,-7,-150
44.2,52,-137
44.4,100,-82
44.6,128,-20
44.8,126,32
45,112,97
45.2,68,150
45.4,4,155
45.6,-54,139
45.8,-92,114
46,-130,73
46.2,-139,6
46.4,-108,-58
46.6,-72,-105
46.8,-16,-118
47,51,-110
47.2,92,-82
47.4,125,-49
47.6,140,9
47.8,123,68
48,98,106
48.2,60,122
48.4,-9,127
48.6,-64,104
48.8,-95,57
49,-128,3
49.2,-126,-44
49.4,-100,-88
49.6,-65,-133
49.8,-5,-136
50,44,-115
50.2,86,-88
50.4,104,-45
50.6,101,19
50.8,88,58
51,47,93
51.2,-14,116
51.4,-54,107
51.6,-104,80
51.8,-134,27
52,-133,-14
52.2,-136,-55
52.4,-93,-107
52.6,-30,-128
52.8,16,-110
53,65,-90
53.2,102,-49
53.4,108,13
53.6,103,55
53.8,81,99
54,38,119
54.2,-6,113
54.4,-51,99
54.6,-83,68
54.8,-98,27
55,-93,-28
55.2,-67,-65
55.4,-33,-101
55.6,10,-117
55.8,68,-98
56,112,-75
56.2,115,-38
56.4,128,8
56.6,111,50
56.8,67,85
57,27,108
57.2,-29,93
57.4,-71,76
57.6,-96,42
57.8,-105,-15
58,-94,-57
58.2,-74,-81
58.4,-34,-104
58.6,19,-104
58.8,59,-83
59,82,-42
59.2,97,7
59.4,80,50
59.6,53,88
59.8,18,117
60,-15,115
60.2,-55,105
60.4,-102,75
60.6,-106,38
60.8,-98,1
61,-82,-43
61.2,-52,-63
61.4,-7,-75
61.6,38,-78
61.8,68,-60
62,92,-12
62.2,103,24
62.4,84,51
62.6,60,84
62.8,13,97
63,-29,84
63.2,-61,65
63.4,-80,31
63.6,-82,-8
63.8,-78,-52
64,-57,-95
64.2,-14,-106
64.4,18,-100
64.6,58,-86
64.8,70,-69
65,78,-28
65.2,81,13
65.4,58,48
65.6,27,62
65.8,-14,69
66,-49,64
66.2,-71,32
66.4,-86,0
66.6,-93,-32
66.8,-76,-59
67,-48,-73
67.2,-13,-90
67.4,24,-74
67.6,54,-52
67.8,83,-22
68,73,20
