0,161.234,140.982
0.2,61.8532,221.886
0.4,-60.6784,233.761
0.6,-167.423,189.612
0.8,-236.816,96.5174
1,-258.362,-13.0182
1.2,-240,-127
1.4,-164,-211
1.6,-63,-262
1.8,47,-250
2,148,-190
2.2,219,-110
2.4,243,7
2.6,205,115
2.8,134,192
3,26,218
3.2,-80,214
3.4,-164,145
3.6,-219,45
3.8,-221,-53
4,-166,-145
4.2,-80,-215
4.4,37,-235
4.6,147,-202
4.8,224,-123
5,272,-19
5.2,257,94
5.4,197,192
5.6,94,246
5.8,-11,247
6,-117,209
6.2,-192,142
6.4,-223,27
6.6,-202,-79
6.8,-137,-159
7,-38,-207
7.2,76,-205
7.4,158,-161
7.6,215,-62
7.8,225,49
8,188,144
8.2,110,222
8.4,3,232
8.6,-109,224
8.8,-203,167
9,-259,59
9.2,-251,-44
9.4,-211,-150
9.6,-121,-222
9.8,-17,-249
10,80,-215
10.2,162,-145
10.4,200,-50
10.6,193,58
10.8,146,144
11,55,202
11.2,-47,208
11.4,-147,170
11.6,-218,94
11.8,-240,-6
12,-214,-121
12.2,-147,-212
12.4,-50,-247
12.6,63,-237
12.8,165,-184
13,232,-96
13.2,265,11
13.4,238,119
13.6,166,209
13.8,58,232
14,-48,219
14.2,-137,159
14.4,-196,67
14.6,-193,-27
14.8,-150,-124
15,-79,-189
15.2,22,-212
15.4,135,-190
15.6,216,-116
15.8,242,-16
16,239,79
16.2,192,170
16.4,89,238
16.6,-11,250
16.8,-118,212
17,-205,141
17.2,-231,46
17.4,-217,-75
17.6,-172,-152
17.8,-88,-199
18,16,-211
18.2,111,-173
18.4,176,-89
18.6,202,3
18.8,174,104
19,88,184
19.2,-4,219
19.4,-95,206
19.6,-192,153
19.8,-239,57
20,-254,-44
20.2,-206,-138
20.4,-136,-196
20.6,-45,-229
20.8,70,-221
21,149,-161
21.2,197,-60
21.4,204,37
21.6,162,126
21.8,94,186
22,3,200
22.2,-101,175
22.4,-161,115
22.6,-190,18
22.8,-175,-82
23,-111,-155
23.2,-32,-197
23.4,72,-204
23.6,164,-156
23.8,219,-83
24,249,10
24.2,226,113
24.4,155,177
24.6,72,216
24.8,-18,213
25,-113,175
25.2,-174,91
25.4,-184,-1
25.6,-158,-87
25.8,-99,-150
26,-18,-185
26.2,71,-178
26.4,146,-114
26.6,192,-31
26.8,181,55
27,132,144
27.2,65,203
27.4,-32,217
27.6,-123,193
27.8,-195,120
